"id","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ES",,,,,,,,,,,,,,,,,,,,,550101722365,538407494569,545283157861,552785353965,567519187089,579211996138,601872979158,636908348066,673561221116,707023979160,732149405325,749554015435,756098967016,739308982093,761857674281,794997645233,816728069301,846030377330,882872516485,922903146678,968518607513,1009384817498,1035681697462,1070413891449,1104958987625,1145624999610,1194472232970,1238861502139,1248519349963,1206531120437,1207616464892,1196502931878,1165661267458,1146436013064,1160524082387,1199057336143
"ET",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9763591085,9858656482,10631856930,10387001439,9200780389,10093058619,11493101161,11558808250,11506195520,11805259464,10953265594,7369665379,11301234705,10312113371,11680927333,14129325500,14464729103,13913096076,14844210463,16798500355,18046684303,18322569738,17939852405,20021043046,22564090543,25178161272,28161319182,31567017902,34415933807,38105256577,42413162602,46299580706,50687161391,56026665018,61539711687
"EU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FI",,,,,,,,,,,,,,,,,,,,,131826276996,145949541384,154091225049,153287501732,166116057145,173305292896,166235980125,168932477965,183352556978,200950849212,187587646794,171432573664,142763520866,123587542424,139012621112,157356782733,159206468036,170754930107,177793988853,185687120397,195833304853,201304098383,204138966361,208548048204,216855612859,222807299510,232035989355,243942125781,244881529631,225125617526,232030601896,238192729277,234895437107,233168700637,231223494526,231949650660
"FJ",,,,,,,,,,,,,,,,,,,,,1765867225,1873549369,1851821406,1774486432,1954086085,1879323761,2004068133,1860031036,1923588990,2191487168,2372228706,2307685587,2448577452,2513340737,2640969067,2770828812,2902045174,2836067274,2872233775,3135585467,3079701583,3140360647,3238665664,3271379658,3450603541,3535887519,3601542830,3570920183,3607908848,3556745313,3664520449,3762384814,3810203047,3991091276,4150309124,4425503075
"FM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,329897539,319200922,299834841,308541708,312914704,328206042,333415720,336173318,341495657,330866156,338492432,337125926,330280924,322209508,324637962,335635077,344101524,341753418,329460515,318597687,314971100
"FO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0
"FR",,,,,,,,,,,,,,,,,,,,,1299693632023,1307965431322,1341041320231,1358895070631,1381938132236,1397108917408,1439021550689,1477379488296,1545822096272,1614671797662,1659266907948,1674709391546,1703743871931,1695363267728,1733643839798,1771942418425,1797479040175,1837626940379,1902675014957,1967779966591,2040728667236,2084915493496,2102593215250,2123276350712,2183642736113,2217971093939,2272539825820,2325011905324,2321771978703,2258442170300,2304523108927,2354375256168,2359685797733,2373849053985,2385927494159,2418835532882
"GA",,,,,,,,,,,,,,,,,,,,,6492713291,6238139503,6490546252,6481348491,7425954314,6995207468,5333080326,5749797184,6305520026,7270927091,7644488532,8112544975,7863144068,6619664163,8476131543,8897578493,9220049881,9748953438,10089688840,9185913241,9013247407,9804740927,9824027228,9990886815,10102691850,10022783254,9831708950,10454271462,10635189418,10318809210,11044425934,11817303385,12442207625,13147062240,13696416484,14262032471
"GB",,,,,,,,,,,,,,,,,,,,,1228695450518,1201734902030,1229468975318,1278138774501,1300645545380,1345990529761,1399767266787,1474163439741,1564744099213,1607629326822,1613197002088,1597233448136,1604488964832,1654571310241,1723462298159,1890573488124,1937212661643,1999330310244,2063463949108,2131030635856,2206933830519,2270835909662,2322257853888,2404153568652,2466223546057,2537765743356,2600640023358,2669858095770,2632787430190,2528688899588,2586368866904,2624963898536,2652105995816,2710473067741,2792402763517,2858003087966
