"id","year","income-share-bottom-20pc","income-share-second-20pc","income-share-third-20pc","income-share-fourth-20pc","income-share-highest-20pc"
"TT",2003,,,,,
"TN",2003,,,,,
"TR",2003,5.51,10,14.58,21.55,48.36
"TV",2003,,,,,
"TZ",2003,,,,,
"UG",2003,,,,,
"UA",2003,9.09,13.4,17.18,22.35,37.98
"UY",2003,4.77,8.67,13.6,21.26,51.7
"US",2003,,,,,
"UZ",2003,7.44,12.04,15.8,21.39,43.33
"VC",2003,,,,,
"VE",2003,3.25,8.71,13.97,22,52.07
"VI",2003,,,,,
"VN",2003,,,,,
"VU",2003,,,,,
"PS",2003,,,,,
"WS",2003,,,,,
"YE",2003,,,,,
"ZA",2003,,,,,
"CD",2003,,,,,
"ZM",2003,6.16,10.04,14.37,20.64,48.79
"ZW",2003,,,,,
"AW",2004,,,,,
"AD",2004,,,,,
"AF",2004,,,,,
"AO",2004,,,,,
"AL",2004,8.18,12.69,17,22.62,39.51
"AE",2004,,,,,
"AR",2004,3.21,7.74,13.19,21.7,54.16
"AM",2004,7.59,11.47,14.98,20.2,45.76
"AS",2004,,,,,
"AG",2004,,,,,
"AU",2004,,,,,
"AT",2004,8.46,13.19,17.17,22.48,38.7
"AZ",2004,13.32,16.57,18.83,21.57,29.71
"BI",2004,,,,,
"BE",2004,,,,,
"BJ",2004,,,,,
"BF",2004,,,,,
"BD",2004,,,,,
"BG",2004,,,,,
"BH",2004,,,,,
"BS",2004,,,,,
"BA",2004,7.4,12.08,16.27,22.45,41.8
"BY",2004,9.44,14.05,17.89,22.85,35.77
"BZ",2004,,,,,
"BM",2004,,,,,
"BO",2004,3.09,7.18,11.42,18.77,59.54
"BR",2004,2.82,6.46,10.92,18.56,61.24
"BB",2004,,,,,
"BN",2004,,,,,
"BT",2004,,,,,
"BW",2004,,,,,
"CF",2004,,,,,
"CA",2004,6.89,12.36,16.87,22.91,40.97
