id,region,aid-type,year,value
SK,South & Central Asia,multilateral,2013,6006021.56
SK,Middle East,multilateral,2013,4887963.73
SK,Oceania,multilateral,2013,389336.94
SK,Unspecified,multilateral,2013,4919411.76
SI,Europe,multilateral,2013,10292526.20
SI,North Africa,multilateral,2013,2826592.86
SI,Sub-Saharan Africa,multilateral,2013,12447352.45
SI,North & Central America,multilateral,2013,1534905.73
SI,South America,multilateral,2013,1061594.39
SI,Far East Asia,multilateral,2013,1547452.15
SI,South & Central Asia,multilateral,2013,3920232.49
SI,Middle East,multilateral,2013,2756327.83
SI,Oceania,multilateral,2013,244392.04
SI,Unspecified,multilateral,2013,2875242.98
ES,Europe,multilateral,2013,323031331.79
ES,North Africa,multilateral,2013,91455780.59
ES,Sub-Saharan Africa,multilateral,2013,434437530.85
ES,North & Central America,multilateral,2013,69969927.77
ES,South America,multilateral,2013,44193839.90
ES,Far East Asia,multilateral,2013,60880764.36
ES,South & Central Asia,multilateral,2013,147221330.00
ES,Middle East,multilateral,2013,93643456.36
ES,Oceania,multilateral,2013,9788387.29
ES,Unspecified,multilateral,2013,98755244.75
SE,Europe,multilateral,2013,140938620.97
SE,North Africa,multilateral,2013,54982105.22
SE,Sub-Saharan Africa,multilateral,2013,743268771.70
SE,North & Central America,multilateral,2013,62932238.80
SE,South America,multilateral,2013,36262056.72
SE,Far East Asia,multilateral,2013,123316315.96
SE,South & Central Asia,multilateral,2013,287726123.43
SE,Middle East,multilateral,2013,152028069.54
SE,Oceania,multilateral,2013,12707532.73
SE,Unspecified,multilateral,2013,209283332.48
CH,Europe,multilateral,2013,11219868.29
CH,North Africa,multilateral,2013,8266137.92
CH,Sub-Saharan Africa,multilateral,2013,307826896.73
CH,North & Central America,multilateral,2013,31239582.25
CH,South America,multilateral,2013,16703709.30
CH,Far East Asia,multilateral,2013,64367133.12
CH,South & Central Asia,multilateral,2013,139866263.28
CH,Middle East,multilateral,2013,41703476.79
CH,Oceania,multilateral,2013,5881094.52
CH,Unspecified,multilateral,2013,59389680.18
GB,Europe,multilateral,2013,696353626.64
GB,North Africa,multilateral,2013,327781378.36
GB,Sub-Saharan Africa,multilateral,2013,3187461060.37
GB,North & Central America,multilateral,2013,282759468.94
GB,South America,multilateral,2013,154457721.22
GB,Far East Asia,multilateral,2013,510214680.10
GB,South & Central Asia,multilateral,2013,1302371216.19
