"id","year","out-oda-gross","capital-repayment","interest-repayment"
"ES",2008,6673840000,544940000,34530000
"SE",2008,4916160000,0,0
"CH",2008,2405850000,13630000,0
"GB",2008,11500390000,457730000,0
"US",2008,28997100000,1024200000,484840000
"BG",2008,0,0,0
"HR",2008,0,0,0
"CY",2008,38070000,0,0
"EE",2008,20690000,0,0
"HU",2008,93810000,0,0
"IL",2008,143940000,0,0
"KW",2008,674670000,386690000,0
"LV",2008,22190000,0,0
"LI",2008,24090000,0,0
"LT",2008,48640000,0,0
"MT",2008,0,0,0
"RO",2008,124940000,0,0
"RU",2008,0,0,0
"SA",2008,5163990000,100440000,0
"TW",2008,442600000,0,0
"TH",2008,181440000,0,0
"TR",2008,735380000,0,0
"AE",2008,1387500000,100180000,0
"AU",2009,3992960000,0,0
"AT",2009,1122640000,9930000,210000
"BE",2009,2604350000,47620000,2390000
"CA",2009,4971550000,50260000,2420000
"CZ",2009,206770000,0,0
"DK",2009,2822200000,35510000,810000
"FI",2009,1263950000,0,40000
"FR",2009,13419820000,1342980000,406480000
"DE",2009,12781490000,1209920000,294600000
"GR",2009,568240000,0,0
"IS",2009,38530000,0,0
"IE",2009,926570000,0,0
"IT",2009,3320730000,170320000,410000
"JP",2009,18320720000,7778070000,2637040000
"KR",2009,1022390000,41720000,29660000
"LU",2009,440190000,0,0
"NL",2009,6238920000,110590000,25370000
"NZ",2009,424070000,0,0
"NO",2009,5128260000,0,0
"PL",2009,388750000,4310000,0
"PT",2009,508980000,33040000,10420000
"SK",2009,72020000,0,0
"SI",2009,65990000,0,0
"ES",2009,6451810000,369470000,5830000
"SE",2009,5289360000,0,0
"CH",2009,2704250000,11680000,0
"GB",2009,12501440000,225800000,0
"US",2009,31133180000,859720000,303180000
"BG",2009,0,0,0
"HR",2009,0,0,0
"CY",2009,47670000,0,0
"EE",2009,18220000,0,0
"HU",2009,113640000,0,0
"IL",2009,135710000,0,0
"KW",2009,554330000,322440000,0
"LV",2009,21990000,0,0
"LI",2009,27520000,0,0
"LT",2009,37960000,0,0
"MT",2009,14360000,0,0
"RO",2009,159960000,0,0
"RU",2009,0,0,0
"SA",2009,3403860000,117530000,0
"TW",2009,431380000,0,0
"TH",2009,42090000,0,0
"TR",2009,747590000,0,0
"AE",2009,1085820000,92840000,0
"AU",2010,4459300000,0,0
"AT",2010,1222150000,4550000,140000
"BE",2010,3080730000,48120000,0
"CA",2010,5689420000,46500000,2360000
"CZ",2010,223800000,0,0
"DK",2010,2948380000,77360000,0
"FI",2010,1368130000,0,20000
"FR",2010,14253900000,1365310000,407110000
"DE",2010,14340770000,1396640000,291410000
"GR",2010,493930000,0,0
"IS",2010,29830000,0,0
"IE",2010,880350000,0,0
"IT",2010,3181350000,183260000,0
"JP",2010,20177700000,8350440000,2268230000
"KR",2010,1268930000,34290000,29540000
"LU",2010,419600000,180000,0
"NL",2010,6432340000,110360000,0
"NZ",2010,390830000,0,0
"NO",2010,4974400000,0,0
"PL",2010,375940000,5100000,0
"PT",2010,664140000,34660000,12880000
"SK",2010,73620000,0,0
"SI",2010,57690000,0,0
"ES",2010,6130110000,356730000,57380000
"SE",2010,4937830000,7620000,0
"CH",2010,2588080000,17790000,0
"GB",2010,14301950000,367790000,0
"US",2010,32317320000,827630000,246160000
"BG",2010,42050000,0,0
"HR",2010,0,0,0
"CY",2010,53140000,0,0
"EE",2010,19380000,0,0
"HU",2010,111950000,0,0
"IL",2010,148860000,0,0
"KW",2010,640610000,421840000,137250000
"LV",2010,16220000,0,0
"LI",2010,27660000,0,0
"LT",2010,38140000,0,0
"MT",2010,14330000,0,0
"RO",2010,118620000,0,0
"RU",2010,578800000,0,0
"SA",2010,3628370000,14490000,0
"TW",2010,395610000,0,0
"TH",2010,47040000,37090000,0
"TR",2010,938540000,0,0
"AE",2010,563330000,133550000,0
"AU",2011,4967350000,0,12710000
"AT",2011,1049970000,4260000,90000
"BE",2011,2844980000,199220000,2870000
"CA",2011,5540640000,47080000,2290000
"CZ",2011,230260000,0,0
"DK",2011,2840610000,67690000,0
"FI",2011,1356520000,19050000,20000
"FR",2011,13303380000,1104920000,306120000
"DE",2011,14629300000,1.41e+09,302810000
"GR",2011,389590000,0,0
"IS",2011,24430000,0,0
"IE",2011,850140000,0,0
"IT",2011,4350340000,282390000,7170000
"JP",2011,19792490000,9069270000,2536490000
"KR",2011,1359520000,44410000,31810000
"LU",2011,390830000,1260000,0
"NL",2011,6142520000,210530000,0
"NZ",2011,431270000,0,0
"NO",2011,4699840000,0,0
"PL",2011,396660000,6970000,0
"PT",2011,687370000,35030000,16480000
"SK",2011,80510000,0,0
"SI",2011,58180000,0,0
"ES",2011,4138010000,280900000,51010000
"SE",2011,5421940000,3160000,0
"CH",2011,2916780000,26620000,0
"GB",2011,14244170000,342690000,0
"US",2011,32682770000,1222670000,236700000
"BG",2011,47230000,0,0
"HR",2011,0,0,0
"CY",2011,36720000,0,0
"EE",2011,23130000,0,0
"HU",2011,128890000,0,0
"IL",2011,199130000,0,0
"KW",2011,483490000,342530000,128860000
"LV",2011,18680000,0,0
"LI",2011,30710000,0,0
"LT",2011,50450000,0,0
"MT",2011,19480000,0,0
"RO",2011,159930000,0,0
"RU",2011,538720000,0,0
"SA",2011,5114260000,141030000,0
"TW",2011,372140000,0,0
"TH",2011,48830000,18040000,0
"TR",2011,1268390000,0,0
"AE",2011,772120000,76340000,0
"AU",2012,5514610000,111880000,0
"AT",2012,1113480000,7680000,140000
"BE",2012,2359230000,44320000,20000
"CA",2012,5697890000,52480000,2250000
"CZ",2012,219620000,0,0
"DK",2012,2812370000,119780000,0
"FI",2012,1322430000,6450000,0
"FR",2012,13506690000,1478490000,336730000
"DE",2012,14569650000,1630150000,335240000
"GR",2012,327390000,0,0
"IS",2012,26130000,0,0
"IE",2012,808370000,0,0
"IT",2012,2837010000,99880000,2140000
"JP",2012,18662120000,8057640000,2388150000
"KR",2012,1646480000,49020000,33720000
"LU",2012,401890000,2860000,0
"NL",2012,5629290000,106450000,17320000
"NZ",2012,449130000,0,0
"NO",2012,4849450000,96460000,0
"PL",2012,438700000,17640000,0
"PT",2012,618630000,37870000,16720000
"SK",2012,79680000,0,0
"SI",2012,58430000,0,0
"ES",2012,2123280000,85930000,35490000
"SE",2012,5247720000,7880000,0
"CH",2012,3081510000,25900000,0
"GB",2012,14209290000,317830000,0
"US",2012,31257710000,570760000,191780000
"BG",2012,39950000,0,0
"HR",2012,21360000,0,0
"CY",2012,25080000,0,0
"EE",2012,23240000,0,0
"HU",2012,118380000,0,0
"IL",2012,181190000,0,0
"KW",2012,451660000,302500000,127820000
"LV",2012,21110000,0,0
"LI",2012,28600000,0,0
"LT",2012,51910000,0,0
"MT",2012,18580000,0,0
"RO",2012,142410000,0,0
"RU",2012,465010000,0,0
"SA",2012,1436180000,137320000,0
"TW",2012,304500000,0,0
"TH",2012,35050000,18150000,0
"TR",2012,2533300000,0,0
