"id","year","estimate","value"
"ME",1982,FALSE,
"MN",1982,FALSE,9.807e+09
"MZ",1982,FALSE,1.38e+08
"MR",1982,FALSE,
"MU",1982,FALSE,
"MW",1982,FALSE,
"MY",1982,FALSE,6.2778e+10
"NA",1982,FALSE,
"NE",1982,FALSE,
"NG",1982,FALSE,
"NI",1982,FALSE,
"NL",1982,FALSE,1.86065e+11
"NO",1982,FALSE,3.99185e+11
"NP",1982,FALSE,
"NZ",1982,FALSE,
"OM",1982,FALSE,
"PK",1982,FALSE,
"PA",1982,FALSE,
"PE",1982,FALSE,
"PH",1982,FALSE,
"PW",1982,FALSE,
"PG",1982,FALSE,
"PL",1982,FALSE,
"PT",1982,FALSE,
"PY",1982,FALSE,
"QA",1982,FALSE,
"RO",1982,FALSE,
"RU",1982,FALSE,
"RW",1982,FALSE,
"SA",1982,FALSE,
"SD",1982,FALSE,
"SN",1982,FALSE,
"SG",1982,FALSE,
"SB",1982,FALSE,
"SL",1982,FALSE,
"SV",1982,FALSE,
"SM",1982,FALSE,
"RS",1982,FALSE,
"SS",1982,FALSE,
"ST",1982,FALSE,
"SR",1982,FALSE,
"SK",1982,FALSE,
"SI",1982,FALSE,
"SE",1982,FALSE,6.6301e+11
"SZ",1982,FALSE,1.053e+09
"SC",1982,FALSE,
"SY",1982,FALSE,
"TD",1982,FALSE,
"TG",1982,FALSE,
"TH",1982,FALSE,
"TJ",1982,FALSE,
"TM",1982,FALSE,
"TL",1982,FALSE,
"TO",1982,FALSE,
"TT",1982,FALSE,
"TN",1982,FALSE,
"TR",1982,FALSE,1.4e+07
"TV",1982,FALSE,
"TW",1982,FALSE,1.941169e+12
"TZ",1982,FALSE,
"UG",1982,FALSE,
"UA",1982,FALSE,
"UY",1982,FALSE,
"US",1982,FALSE,3.345e+12
"XK",1982,FALSE,
"UZ",1982,FALSE,
"VC",1982,FALSE,2.7e+08
"VE",1982,FALSE,
"VN",1982,FALSE,1.7348e+10
"VU",1982,FALSE,
"AS",1982,FALSE,
"YE",1982,FALSE,
"ZA",1982,FALSE,
"ZM",1982,FALSE,
"ZW",1982,FALSE,
"AF",1983,FALSE,
"AO",1983,FALSE,
"AL",1983,FALSE,
"AE",1983,FALSE,
"AR",1983,FALSE,
"AM",1983,FALSE,
"AG",1983,FALSE,
"AU",1983,FALSE,1.99698e+11
"AT",1983,FALSE,
"AZ",1983,FALSE,
"BI",1983,FALSE,
"BE",1983,FALSE,1.06117e+11
"BJ",1983,FALSE,
"BF",1983,FALSE,
"BD",1983,FALSE,4.68604e+11
"BG",1983,FALSE,
"BH",1983,FALSE,
"BS",1983,FALSE,
"BA",1983,FALSE,
"BY",1983,FALSE,
"BZ",1983,FALSE,3.89e+08
"BO",1983,FALSE,1e+06
"BR",1983,FALSE,
"BB",1983,FALSE,
"BN",1983,FALSE,
"BT",1983,FALSE,1.573e+09
"BW",1983,FALSE,1.334e+09
"CF",1983,FALSE,
"CA",1983,FALSE,4.1977e+11
"CH",1983,FALSE,2.20944e+11
"CL",1983,FALSE,
"CN",1983,FALSE,6.07458e+11
"CI",1983,FALSE,
"CM",1983,FALSE,
"CD",1983,FALSE,
"CG",1983,FALSE,
"CO",1983,FALSE,4.241294e+12
"KM",1983,FALSE,
"CV",1983,FALSE,
"CR",1983,FALSE,
"CY",1983,FALSE,
"CZ",1983,FALSE,
"DE",1983,FALSE,
"DJ",1983,FALSE,
"DM",1983,FALSE,
"DK",1983,FALSE,5.41428e+11
"DO",1983,FALSE,
"DZ",1983,FALSE,
"EC",1983,FALSE,
"EG",1983,FALSE,
"ER",1983,FALSE,
"ES",1983,FALSE,1.44159e+11
"EE",1983,FALSE,
"ET",1983,FALSE,1.8008e+10
"FI",1983,FALSE,4.8885e+10
"FJ",1983,FALSE,
"FR",1983,FALSE,6.52816e+11
"FM",1983,FALSE,
"GA",1983,FALSE,
"GB",1983,FALSE,3.07425e+11
"GE",1983,FALSE,
"GH",1983,FALSE,1.1e+07
"GN",1983,FALSE,2.3965e+11
"GM",1983,FALSE,
"GW",1983,FALSE,
"GQ",1983,FALSE,1.2749e+10
"GR",1983,FALSE,1.2018e+10
"GD",1983,FALSE,3.31e+08
"GT",1983,FALSE,
"GY",1983,FALSE,
"HK",1983,FALSE,
"HN",1983,FALSE,
"HR",1983,FALSE,
"HT",1983,FALSE,
"HU",1983,FALSE,9.14535e+11
"ID",1983,FALSE,
"IO",1983,FALSE,2.290214e+12
"IE",1983,FALSE,2.0919e+10
"IR",1983,FALSE,
"IQ",1983,FALSE,
"IS",1983,FALSE,6.7696e+10
"IL",1983,FALSE,1.68e+09
"IT",1983,FALSE,
"JM",1983,FALSE,
"JO",1983,FALSE,
"JP",1983,FALSE,2.89314592e+14
"KZ",1983,FALSE,
"KE",1983,FALSE,1.27806e+11
"KG",1983,FALSE,
"KH",1983,FALSE,
"KI",1983,FALSE,
"KN",1983,FALSE,2.1e+08
"KP",1983,FALSE,7.0224e+13
"KW",1983,FALSE,
"LA",1983,FALSE,
"LB",1983,FALSE,
"LR",1983,FALSE,
"LY",1983,FALSE,
"LC",1983,FALSE,4.93e+08
"LK",1983,FALSE,1.25764e+11
"LS",1983,FALSE,4.23e+08
"LT",1983,FALSE,
"LU",1983,FALSE,
"LV",1983,FALSE,
"MA",1983,FALSE,
"MD",1983,FALSE,
"MG",1983,FALSE,3.02305e+11
"MV",1983,FALSE,
"MX",1983,FALSE,
"MH",1983,FALSE,
"MK",1983,FALSE,
"ML",1983,FALSE,
"MT",1983,FALSE,1.246e+09
"MM",1983,FALSE,
"ME",1983,FALSE,
"MN",1983,FALSE,1.0473e+10
"MZ",1983,FALSE,1.32e+08
"MR",1983,FALSE,
"MU",1983,FALSE,
"MW",1983,FALSE,
"MY",1983,FALSE,6.9787e+10
"NA",1983,FALSE,
"NE",1983,FALSE,
"NG",1983,FALSE,
"NI",1983,FALSE,
"NL",1983,FALSE,1.93313e+11
"NO",1983,FALSE,4.43475e+11
"NP",1983,FALSE,
"NZ",1983,FALSE,
"OM",1983,FALSE,
"PK",1983,FALSE,
"PA",1983,FALSE,
"PE",1983,FALSE,
"PH",1983,FALSE,4.0892e+11
"PW",1983,FALSE,
"PG",1983,FALSE,
"PL",1983,FALSE,
"PT",1983,FALSE,
"PY",1983,FALSE,
"QA",1983,FALSE,
"RO",1983,FALSE,
"RU",1983,FALSE,
"RW",1983,FALSE,
