"district_id","district_name","year","budget_type","value"
"d407","Kibaale",2012,"actual",12.12621537
"d407","Kibaale",2013,"actual",13.88163915
"d407","Kibaale",2014,"actual",12.4039989
"d407","Kibaale",2015,"approved",10.41849511
"d407","Kibaale",2015,"actual",10.41849511
"d407","Kibaale",2016,"proposed",12.43496708
"d407","Kibaale",2016,"actual",10.91757093
"d407","Kibaale",2017,"actual",15.31729321
"d407","Kibaale",2018,"approved",11
"d407","Kibaale",2019,"proposed",14
"d103","Kiboga",2012,"actual",16.6039112
"d103","Kiboga",2013,"actual",16.37152643
"d103","Kiboga",2014,"actual",14.82725849
"d103","Kiboga",2015,"actual",19.1114799
"d103","Kiboga",2015,"approved",19.1114799
"d103","Kiboga",2016,"approved",17.10495309
"d103","Kiboga",2016,"actual",16.89221901
"d103","Kiboga",2016,"proposed",16.10246795
"d103","Kiboga",2017,"actual",19.4790211
"d103","Kiboga",2017,"approved",21.42423621
"d103","Kiboga",2018,"approved",21
"d103","Kiboga",2019,"proposed",24
"d227","Kibuku",2012,"actual",9.125284686
"d227","Kibuku",2013,"actual",9.036811617
"d227","Kibuku",2014,"actual",10.96076761
"d227","Kibuku",2015,"approved",8.905727364
"d227","Kibuku",2015,"actual",8.905727364
"d227","Kibuku",2016,"actual",9.70824519
"d227","Kibuku",2016,"proposed",10.28207453
"d227","Kibuku",2017,"actual",11.22376007
"d227","Kibuku",2018,"approved",13
"d227","Kibuku",2019,"proposed",16
"d419","Kiruhura",2012,"actual",16.18151704
"d419","Kiruhura",2013,"actual",14.64158257
"d419","Kiruhura",2014,"actual",17.91384213
"d419","Kiruhura",2015,"approved",17.87947473
"d419","Kiruhura",2016,"actual",18.26323437
"d419","Kiruhura",2017,"actual",17.80180078
"d419","Kiruhura",2018,"approved",16
"d419","Kiruhura",2019,"proposed",21
"d421","Kiryandongo",2012,"actual",16.50858865
"d421","Kiryandongo",2013,"actual",15.97266607
"d421","Kiryandongo",2014,"actual",15.18893472
"d421","Kiryandongo",2015,"actual",12.08805279
"d421","Kiryandongo",2015,"approved",12.08805279
"d421","Kiryandongo",2016,"approved",16.51353684
"d421","Kiryandongo",2016,"actual",13.35702364
"d421","Kiryandongo",2016,"proposed",14.17116443
"d421","Kiryandongo",2017,"actual",13.00392326
"d421","Kiryandongo",2017,"approved",14.09598615
"d421","Kiryandongo",2018,"approved",18
"d421","Kiryandongo",2019,"proposed",23
"d408","Kisoro",2012,"actual",18.86970069
"d408","Kisoro",2013,"actual",19.56914758
"d408","Kisoro",2014,"actual",23.03052893
"d408","Kisoro",2015,"approved",21.01528978
"d408","Kisoro",2015,"actual",21.01528978
"d408","Kisoro",2016,"approved",20.83264778
"d408","Kisoro",2016,"actual",21.63796591
"d408","Kisoro",2016,"proposed",20.66228852
"d408","Kisoro",2017,"actual",6.142124098
"d408","Kisoro",2017,"approved",23.81880905
"d408","Kisoro",2018,"approved",20
"d408","Kisoro",2019,"proposed",25
"d305","Kitgum",2012,"actual",15.85424161
"d305","Kitgum",2013,"actual",11.36755663
"d305","Kitgum",2014,"actual",16.71373781
"d305","Kitgum",2015,"approved",15.73414708
"d305","Kitgum",2015,"actual",15.73414708
"d305","Kitgum",2016,"proposed",21.27470315
"d305","Kitgum",2016,"actual",15.83067179
"d305","Kitgum",2017,"approved",2.516302268
"d305","Kitgum",2019,"proposed",25
"d319","Koboko",2012,"actual",11.12152237
"d319","Koboko",2013,"actual",13.12926004
"d319","Koboko",2014,"actual",13.19729781
"d319","Koboko",2015,"approved",12.78934733
"d319","Koboko",2015,"actual",12.78934733
"d319","Koboko",2016,"approved",15.48144182
"d319","Koboko",2016,"proposed",14.96769919
"d319","Koboko",2016,"actual",15.02178017
"d319","Koboko",2017,"approved",15.28414788
"d319","Koboko",2017,"actual",16.73215286
"d319","Koboko",2018,"approved",8
"d319","Koboko",2019,"proposed",17
"d325","Kole",2012,"actual",5.873276579
"d325","Kole",2013,"actual",7.903502657
"d325","Kole",2014,"actual",9.72680731
"d325","Kole",2015,"approved",15.36699084
"d325","Kole",2015,"actual",15.36699084
"d325","Kole",2016,"actual",15.77432764
"d325","Kole",2016,"approved",12.71626902
"d325","Kole",2016,"proposed",11.8711431
"d325","Kole",2017,"actual",9.108120715
"d325","Kole",2017,"approved",9.223176299
"d325","Kole",2018,"approved",8
