"id","entity-name","year","direction","flow-type","flow-name","value"
"BE","Belgium",2000,"out","official","dfis-out",0
"BE","Belgium",2000,"out","private","remittances-devcountries",0
"BE","Belgium",2000,"out","commercial","fdi-devcountries",0
"BE","Belgium",2000,"in","official","oofs-interest",0
"BE","Belgium",2000,"out","official","oofs-out",80151343.6468436
"BE","Belgium",2000,"in","official","oda-capital-repay",27806029.2041204
"BE","Belgium",2000,"in","official","oda-interest",2926135.58996589
"BE","Belgium",2000,"in","official","oofs-capital-repay",93636338.8789086
"BE","Belgium",2001,"out","private","pda-out",0
"BE","Belgium",2001,"out","commercial","fdi-devcountries",0
"BE","Belgium",2001,"in","official","oofs-interest",0
"BE","Belgium",2001,"out","official","oofs-out",62378816.6476452
"BE","Belgium",2001,"out","official","dfis-out",0
"BE","Belgium",2001,"in","official","oofs-capital-repay",51480089.7339891
