"id","entity-name","year","budget-type","value"
"d309","Moyo",2013,"budget",9.3411052799
"d309","Moyo",2014,"budget",9.1525444765
"d309","Moyo",2015,"budget",4.9001833024
"d309","Moyo",2016,"budget",5.2763644288
"d106","Mpigi",2012,"budget",8.9636314104
"d106","Mpigi",2013,"budget",9.7915445325
"d106","Mpigi",2014,"budget",10.5047466778
"d106","Mpigi",2015,"budget",6.750096741
"d106","Mpigi",2016,"budget",4.7211463044
"d107","Mubende",2012,"budget",10.2311129323
"d107","Mubende",2013,"budget",9.8902400881
"d107","Mubende",2014,"budget",10.19203418
"d107","Mubende",2015,"budget",4.0053207008
"d107","Mubende",2016,"budget",5.3721627561
"d108","Mukono",2012,"budget",8.1863330893
"d108","Mukono",2015,"budget",1.9820329841
"d108","Mukono",2016,"budget",0.0923461719
"d311","Nakapiripirit",2012,"budget",7.4543835334
"d311","Nakapiripirit",2013,"budget",6.8365626008
"d311","Nakapiripirit",2014,"budget",7.2069644274
"d311","Nakapiripirit",2015,"budget",3.8659648887
"d311","Nakapiripirit",2016,"budget",3.9889243503
"d116","Nakaseke",2012,"budget",13.0646523931
"d116","Nakaseke",2013,"budget",11.7449363535
"d116","Nakaseke",2014,"budget",7.3225506362
"d116","Nakaseke",2015,"budget",4.1428920618
"d116","Nakaseke",2016,"budget",3.9371463185
"d109","Nakasongola",2012,"budget",9.7235469156
"d109","Nakasongola",2013,"budget",8.9862689928
"d109","Nakasongola",2015,"budget",4.0472765815
"d109","Nakasongola",2016,"budget",4.369618618
"d230","Namayingo",2012,"budget",8.9739255037
"d230","Namayingo",2013,"budget",14.5487706062
"d230","Namayingo",2014,"budget",13.946060174
"d230","Namayingo",2015,"budget",6.1006664567
"d230","Namayingo",2016,"budget",6.4082026598
"d224","Namutumba",2012,"budget",7.8515907098
"d224","Namutumba",2013,"budget",6.5427056265
"d224","Namutumba",2014,"budget",6.4481433631
"d224","Namutumba",2015,"budget",2.2414289192
"d224","Namutumba",2016,"budget",2.9783608873
"d327","Napak",2012,"budget",11.6959819053
"d327","Napak",2013,"budget",11.181374346
"d327","Napak",2014,"budget",11.2928946365
"d327","Napak",2015,"budget",4.7707030957
"d327","Napak",2016,"budget",5.0441613616
"d310","Nebbi",2012,"budget",7.7543045292
"d310","Nebbi",2013,"budget",6.4327675675
"d310","Nebbi",2014,"budget",7.1601114593
"d310","Nebbi",2015,"budget",4.5763130051
"d310","Nebbi",2016,"budget",3.8534770633
"d231","Ngora",2012,"budget",8.3599726922
"d231","Ngora",2013,"budget",7.7430558838
"d231","Ngora",2014,"budget",7.2578926152
"d231","Ngora",2015,"budget",5.7279467177
"d231","Ngora",2016,"budget",5.8726677697
"d424","Ntoroko",2012,"budget",17.9650710114
"d424","Ntoroko",2013,"budget",15.0370386381
"d424","Ntoroko",2014,"budget",15.6392244051
"d424","Ntoroko",2015,"budget",6.462080132
"d424","Ntoroko",2016,"budget",6.2696052303
"d411","Ntungamo",2012,"budget",8.0074993526
"d411","Ntungamo",2015,"budget",3.0282794866
"d411","Ntungamo",2016,"budget",3.0160389833
"d328","Nwoya",2012,"budget",13.7310751755
"d328","Nwoya",2014,"budget",2.8443117896
"d328","Nwoya",2015,"budget",2.387232164
"d328","Nwoya",2016,"budget",3.0204798416
"d329","Otuke",2012,"budget",10.0824774871
"d329","Otuke",2013,"budget",7.844016651
"d329","Otuke",2014,"budget",8.5376023208
"d329","Otuke",2015,"budget",4.3147155161
"d329","Otuke",2016,"budget",4.5043963544
"d321","Oyam",2012,"budget",5.0489070981
"d321","Oyam",2013,"budget",5.7525968908
"d321","Oyam",2014,"budget",6.0134708028
"d321","Oyam",2015,"budget",3.5694261953
"d321","Oyam",2016,"budget",3.3467601833
"d312","Pader",2012,"budget",10.3460110666
"d312","Pader",2013,"budget",7.3202660847
"d312","Pader",2014,"budget",8.5914239809
"d312","Pader",2015,"budget",4.7655113896
"d312","Pader",2016,"budget",4.1068639221
"d210","Pallisa",2012,"budget",8.4449452996
"d210","Pallisa",2013,"budget",9.4812245554
"d210","Pallisa",2014,"budget",8.3062989841
"d210","Pallisa",2015,"budget",4.1193905489
"d210","Pallisa",2016,"budget",4.2194138579
"d110","Rakai",2012,"budget",8.2804179459
"d110","Rakai",2013,"budget",6.7653086448
"d110","Rakai",2014,"budget",5.9422657284
"d110","Rakai",2015,"budget",2.4307331964
"d110","Rakai",2016,"budget",2.4919957357
"d425","Rubirizi",2012,"budget",11.6389639218
"d425","Rubirizi",2013,"budget",15.3191680916
"d425","Rubirizi",2014,"budget",12.4710062615
"d425","Rubirizi",2015,"budget",4.2586467265
"d425","Rubirizi",2016,"budget",4.5137430302
"d412","Rukungiri",2012,"budget",5.8684804612
"d412","Rukungiri",2013,"budget",5.8665741361
"d412","Rukungiri",2015,"budget",2.2737148885
"d412","Rukungiri",2016,"budget",2.2788288739
"d232","Serere",2012,"budget",10.4724094407
"d232","Serere",2013,"budget",7.8185480664
"d232","Serere",2014,"budget",7.9503554885
"d232","Serere",2015,"budget",2.9493714063
"d232","Serere",2016,"budget",2.8795172445
"d426","Sheema",2012,"budget",7.0944085124
"d426","Sheema",2013,"budget",7.4373964025
"d426","Sheema",2015,"budget",3.4194858086
"d426","Sheema",2016,"budget",3.1426257994
"d215","Sironko",2012,"budget",11.1230097076
"d215","Sironko",2013,"budget",14.6885296725
"d215","Sironko",2014,"budget",12.1025809414
"d215","Sironko",2015,"budget",5.7820393328
"d215","Sironko",2016,"budget",4.941844669
"d211","Soroti",2012,"budget",4.5918428317
"d211","Soroti",2013,"budget",4.0197950639
"d211","Soroti",2014,"budget",4.3778787994
"d211","Soroti",2015,"budget",19.0517760341
"d211","Soroti",2016,"budget",20.5895236247
"d111","Ssembabule",2012,"budget",7.2829719004
