"id","value.2000","estimate.2000","value.2001","estimate.2001","value.2002","estimate.2002","value.2003","estimate.2003","value.2004","estimate.2004","value.2005","estimate.2005","value.2006","estimate.2006","value.2007","estimate.2007","value.2008","estimate.2008","value.2009","estimate.2009","value.2010","estimate.2010","value.2011","estimate.2011","value.2012","estimate.2012","value.2013","estimate.2013","value.2014","estimate.2014"
"SV",,FALSE,15.1,FALSE,15.7,FALSE,16,FALSE,15.7,FALSE,16.2,FALSE,16.9,FALSE,17020.641631435,FALSE,17.1667211049,FALSE,15.9237210203,FALSE,16.9903819217,FALSE,17.3084402956,FALSE,18.1783824641,FALSE,18.990889979,FALSE,18.749502824,TRUE
"TD",7.1865795555,FALSE,6.4668638461,FALSE,7.1694967256,FALSE,6.9237954624,FALSE,7.5019380007,FALSE,8.2632063694,FALSE,14.3779451597,FALSE,18.4747387113,FALSE,21.2720977641,FALSE,12.3587667599,FALSE,18.9447185535,FALSE,23.2035792436,FALSE,19.3845531084,FALSE,16.7125368182,TRUE,18.1664840358,TRUE
"TG",,FALSE,,FALSE,,FALSE,17.0138921054,FALSE,16.7991750108,FALSE,15.6957976723,FALSE,17.0286078874,FALSE,16.8304315395,FALSE,15.5987054559,FALSE,16.8996053634,FALSE,18.3965887087,FALSE,17.2991442961,FALSE,18.2431273132,FALSE,19.3752519296,FALSE,19.524857757,TRUE
"TJ",13.558384062,FALSE,15.2070063694,FALSE,16.5022421525,FALSE,17.0239596469,FALSE,17.2620980838,FALSE,19.3445354812,FALSE,18.9171699741,FALSE,20.5086071987,FALSE,20.5008802317,FALSE,19.9776948068,FALSE,20.8581258854,FALSE,22.5880474908,FALSE,22.314095296,FALSE,22.7587908698,TRUE,,TRUE
"TL",,FALSE,5.5852156057,FALSE,6.5208333333,FALSE,9.7405189621,FALSE,6.4770642202,FALSE,16.7034178611,FALSE,18.2590233546,FALSE,34.8515519568,FALSE,55.0574453706,FALSE,54.0661006671,FALSE,57.5966785291,FALSE,62.3419490045,FALSE,73.4414769672,FALSE,69.230924914,TRUE,74.6829268293,TRUE
"TV",,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,53.6666666667,FALSE,51.5625,FALSE,58.0555555556,FALSE,59.1428571429,FALSE,55.1428571429,FALSE,47.8947368421,FALSE,55.8974358974,FALSE,82.25,FALSE,73.8095238095,TRUE
"TZ",9.4752850834,FALSE,10.2150770405,FALSE,9.9851529613,FALSE,10.0561160183,FALSE,10.4426188828,FALSE,11.1116031507,FALSE,11.8442018702,FALSE,13.056099136,FALSE,14.7454411538,FALSE,15.2165799969,FALSE,14.8636819217,FALSE,15.2905598018,FALSE,16.1479816152,FALSE,15.8778582543,FALSE,16.9585887793,TRUE
"UG",10.5578408169,FALSE,10.1329090926,FALSE,10.4590235225,FALSE,10.3588376488,FALSE,10.9302928627,FALSE,10.8961075166,FALSE,11.2415874669,FALSE,11.4213196339,FALSE,11.1618297082,FALSE,11.1857385941,FALSE,11.4213515123,FALSE,13.7776252541,FALSE,12.46934705,FALSE,12.323830888,FALSE,13.012532222,TRUE
"VU",18.8189418018,FALSE,17.8655282818,FALSE,17.3829781413,FALSE,17.5120364346,FALSE,19.2,FALSE,19.9,FALSE,18.9,FALSE,20.4,FALSE,20.5479896765,FALSE,18.8737196124,FALSE,18.0780727717,FALSE,18.2665927474,FALSE,18.6802030457,FALSE,18.6286335379,TRUE,18.9195318307,TRUE
"WS",23.0059171598,FALSE,21.0897435897,FALSE,19.7908366534,FALSE,21.1922365989,FALSE,20.6621961442,FALSE,21.3102409639,FALSE,22.2035087719,FALSE,25.3790849673,FALSE,22.2877358491,FALSE,22.9620710415,FALSE,22.818627451,FALSE,24.0795454545,FALSE,24.1029810298,TRUE,24.7598253275,TRUE,26.65762344,TRUE
"XK",,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,25.9654702408,FALSE,27.1028037383,FALSE,26.0328128089,FALSE,26.5815656092,FALSE,27.5968150561,TRUE
"ZM",19.2965122024,FALSE,16.9699019276,FALSE,15.769501816,FALSE,15.8563916904,FALSE,15.9434914228,FALSE,15.1711527602,FALSE,14.3982246976,FALSE,15.1467216466,FALSE,15.2349863614,FALSE,13.3358328593,FALSE,14.2044519421,FALSE,16.9211030489,FALSE,17.3732180416,FALSE,16.6658608185,FALSE,17.1744536684,TRUE
"ZW",,,,,,,,,,,12.2305894573,FALSE,7.3153608537,FALSE,2.9356198227,FALSE,2.2542372881,FALSE,11.4502880961,FALSE,23.2715722605,FALSE,26.6611902154,FALSE,28.0307889673,FALSE,28.3280327124,FALSE,28.5901448431,TRUE
