"id","population-0-14.2000","population-15-64.2000","population-65-.2000","population-0-14.2001","population-15-64.2001","population-65-.2001","population-0-14.2002","population-15-64.2002","population-65-.2002","population-0-14.2003","population-15-64.2003","population-65-.2003","population-0-14.2004","population-15-64.2004","population-65-.2004","population-0-14.2005","population-15-64.2005","population-65-.2005","population-0-14.2006","population-15-64.2006","population-65-.2006","population-0-14.2007","population-15-64.2007","population-65-.2007","population-0-14.2008","population-15-64.2008","population-65-.2008","population-0-14.2009","population-15-64.2009","population-65-.2009","population-0-14.2010","population-15-64.2010","population-65-.2010","population-0-14.2011","population-15-64.2011","population-65-.2011","population-0-14.2012","population-15-64.2012","population-65-.2012","population-0-14.2013","population-15-64.2013","population-65-.2013"
"CZ",1687070,7148411,1419582,1641647,7155088,1419871,1601355,7175586,1419976,1566161,7205854,1421979,1535015,7234438,1427648,1509380,7261745,1440091,1489277,7289474,1460153,1477661,7331147,1490019,1475551,7379987,1529059,1478118,7396239,1569577,1486580,7377069,1610762,1504306,7336115,1655668,1530014,7276756,1704020,1563848,7199923,1757698
"DE",12832707,55950679,13428120,12654159,55890570,13805198,12459459,55772908,14256124,12244462,55556812,14732903,12025460,55294601,15196198,11816160,55033685,15619577,11618538,54764018,15993895,11437090,54499921,16329364,11266866,54231335,16611896,11104598,53964980,16832726,10966723,53793799,17016408,10861916,53767429,17168324,10588840,52866406,16970575,10554353,53026987,17040449
"DJ",299095,401828,21964,298311,412688,22730,296574,424344,23520,294207,436549,24332,291668,448945,25164,289323,461240,26022,287242,473406,26896,285455,485440,27794,284243,497124,28733,283928,508195,29742,284715,518487,30834,286726,527881,32034,289854,536467,33331,294151,544023,34758
"DM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DK",986100,3559587,793929,997485,3565751,795547,1006204,3571303,798426,1011920,3575597,803051,1014838,3579342,810341,1015263,3583220,820949,1013379,3588634,835261,1010016,3597859,853562,1006370,3611472,875778,1001676,3621734,899685,996496,3626817,924370,991753,3628490,950331,987376,3626938,977254,986069,3622848,1004789
"DO",3026713,5190884,445824,3040117,5296030,463147,3053646,5401156,480462,3066822,5507018,497479,3078852,5614691,513843,3089202,5724808,529352,3097649,5837685,543936,3104512,5952660,557844,3110429,6068169,571597,3116293,6182067,585904,3122682,6292774,601341,3129865,6399638,618095,3137456,6502949,636216,3141984,6605720,656057
"DZ",10847292,19638829,1233328,10604487,20260949,1284763,10359503,20876835,1336638,10130920,21483468,1389053,9941015,22078031,1442300,9806619,22657901,1496382,9733816,23220721,1552677,9722077,23764221,1610744,9772465,24286164,1666748,9883354,24784423,1715529,10051463,25257198,1754158,10275784,25707302,1779878,10551187,26134651,1795864,10890906,26514734,1802554
"EC",4329117,7565311,638659,4366662,7749840,664366,4401885,7937030,691129,4435252,8125845,718709,4467435,8314866,746788,4498917,8503050,775164,4529779,8689823,803899,4559831,8875391,833174,4588932,9060407,863065,4616836,9245906,893681,4643321,9432536,925215,4668463,9620454,957566,4692200,9809048,991014,4714540,9998378,1024960
"EG",23430458,39179441,3526692,23397027,40200169,3606992,23338036,41276626,3688250,23283755,42380085,3768635,23274334,43471387,3845564,23337950,44521927,3917799,23485835,45521300,3983616,23708486,46475810,4045283,23987328,47394274,4110323,24293567,48292551,4188905,24604882,49182887,4287935,24914314,50066510,4411643,25224088,50940613,4557174,25555143,51766908,4734327
"ER",1852147,2015471,71730,1895246,2130467,75893,1943068,2258108,80401,1995471,2391905,85158,2052040,2523435,90052,2112434,2646635,94997,2176296,2758817,99922,2243619,2861369,104857,2314760,2957453,109950,2390231,3052232,115423,2470108,3149642,121409,2554456,3250397,127999,2642217,3353606,135099,2733049,3456743,143343
