id-from,id-to,flow,year,value
DE,middle-east,remittances-regions,2015,1088171046.66609
DE,north-central-america,fdi-regions-new,2015,1676882972.82312
DE,north-central-america,oda-regions,2015,269020000
DE,north-central-america,oofs-regions,2015,98970000
DE,north-central-america,remittances-regions,2015,77189349.1254537
DE,north-of-sahara,fdi-regions-new,2015,437890183.028287
DE,north-of-sahara,oda-regions,2015,963810000
DE,north-of-sahara,oofs-regions,2015,11390000
DE,north-of-sahara,remittances-regions,2015,549951807.635354
DE,oceania,fdi-regions-new,2015,4480310.5934553
DE,oceania,oda-regions,2015,27060000
DE,oceania,oofs-regions,2015,
DE,oceania,remittances-regions,2015,0
DE,south-america,fdi-regions-new,2015,4821252357.18247
DE,south-america,oda-regions,2015,943630000
DE,south-america,oofs-regions,2015,1895220000
DE,south-america,remittances-regions,2015,187403889.793468
DE,south-central-asia,fdi-regions-new,2015,1441565169.16254
DE,south-central-asia,oda-regions,2015,2061980000
DE,south-central-asia,oofs-regions,2015,
DE,south-central-asia,remittances-regions,2015,1174202445.65538
DE,south-of-sahara,fdi-regions-new,2015,603889073.765947
DE,south-of-sahara,oda-regions,2015,1981650000
DE,south-of-sahara,oofs-regions,2015,93480000
DE,south-of-sahara,remittances-regions,2015,903189770.237136
DK,europe,fdi-regions-new,2015,90849614.8927942
DK,europe,oda-regions,2015,48320000
DK,europe,oofs-regions,2015,1320000
DK,europe,remittances-regions,2015,55783158.6227545
DK,far-east-asia,fdi-regions-new,2015,503315787.908525
DK,far-east-asia,oda-regions,2015,32970000
DK,far-east-asia,oofs-regions,2015,6660000
DK,far-east-asia,remittances-regions,2015,241878700.673614
DK,middle-east,fdi-regions-new,2015,8326642.2815
DK,middle-east,oda-regions,2015,124240000
DK,middle-east,oofs-regions,2015,6040000
DK,middle-east,remittances-regions,2015,141690086.796819
DK,north-central-america,fdi-regions-new,2015,116870372.02248
DK,north-central-america,oda-regions,2015,6780000
DK,north-central-america,oofs-regions,2015,970000
DK,north-central-america,remittances-regions,2015,7236595.4866928
DK,north-of-sahara,fdi-regions-new,2015,2527730.6925982
DK,north-of-sahara,oda-regions,2015,8100000
DK,north-of-sahara,oofs-regions,2015,
DK,north-of-sahara,remittances-regions,2015,26405683.8471152
DK,oceania,fdi-regions-new,2015,46539982.751955
DK,oceania,oda-regions,2015,
DK,oceania,oofs-regions,2015,
DK,oceania,remittances-regions,2015,129788.612732534
DK,south-america,fdi-regions-new,2015,13679483.7481784
DK,south-america,oda-regions,2015,28440000
DK,south-america,oofs-regions,2015,11480000
DK,south-america,remittances-regions,2015,17067020.0058079
DK,south-central-asia,fdi-regions-new,2015,14869004.0741071
DK,south-central-asia,oda-regions,2015,164890000
DK,south-central-asia,oofs-regions,2015,1530000
DK,south-central-asia,remittances-regions,2015,143249709.618267
DK,south-of-sahara,fdi-regions-new,2015,161180004.163322
DK,south-of-sahara,oda-regions,2015,419470000
DK,south-of-sahara,oofs-regions,2015,4640000
DK,south-of-sahara,remittances-regions,2015,61244024.4503707
EE,europe,fdi-regions-new,2015,266222.96173045
EE,europe,oda-regions,2015,5080000
EE,europe,oofs-regions,2015,
EE,europe,remittances-regions,2015,29044371.8307179
EE,far-east-asia,fdi-regions-new,2015,1985579.5895729
EE,far-east-asia,oda-regions,2015,40000
EE,far-east-asia,oofs-regions,2015,
EE,far-east-asia,remittances-regions,2015,1458777.22674265
EE,middle-east,fdi-regions-new,2015,0
EE,middle-east,oda-regions,2015,1050000
EE,middle-east,oofs-regions,2015,
EE,middle-east,remittances-regions,2015,127421.054539181
EE,north-central-america,fdi-regions-new,2015,0
EE,north-central-america,oda-regions,2015,
EE,north-central-america,oofs-regions,2015,
EE,north-central-america,remittances-regions,2015,106089.08026002
EE,north-of-sahara,fdi-regions-new,2015,0
EE,north-of-sahara,oda-regions,2015,
EE,north-of-sahara,oofs-regions,2015,
EE,north-of-sahara,remittances-regions,2015,242666.298435878
EE,oceania,fdi-regions-new,2015,0
EE,oceania,oda-regions,2015,70000
EE,oceania,oofs-regions,2015,
EE,oceania,remittances-regions,2015,5022.852553498
EE,south-america,fdi-regions-new,2015,702163.06156406
EE,south-america,oda-regions,2015,10000
EE,south-america,oofs-regions,2015,
EE,south-america,remittances-regions,2015,159482.770139812
EE,south-central-asia,fdi-regions-new,2015,10590127.5651693
EE,south-central-asia,oda-regions,2015,3680000
EE,south-central-asia,oofs-regions,2015,
EE,south-central-asia,remittances-regions,2015,9272277.6694028
EE,south-of-sahara,fdi-regions-new,2015,0
EE,south-of-sahara,oda-regions,2015,290000
EE,south-of-sahara,oofs-regions,2015,
EE,south-of-sahara,remittances-regions,2015,315142.550996933
ES,europe,fdi-regions-new,2015,0
ES,europe,oda-regions,2015,15340000
ES,europe,oofs-regions,2015,0
ES,europe,remittances-regions,2015,137629021.847678
ES,far-east-asia,fdi-regions-new,2015,0
ES,far-east-asia,oda-regions,2015,8480000
ES,far-east-asia,oofs-regions,2015,
ES,far-east-asia,remittances-regions,2015,1252169397.14411
ES,middle-east,fdi-regions-new,2015,0
ES,middle-east,oda-regions,2015,53110000
ES,middle-east,oofs-regions,2015,
ES,middle-east,remittances-regions,2015,46401464.6537334
ES,north-central-america,fdi-regions-new,2015,3548530227.3988
ES,north-central-america,oda-regions,2015,217750000
ES,north-central-america,oofs-regions,2015,5640000
ES,north-central-america,remittances-regions,2015,941716956.666142
ES,north-of-sahara,fdi-regions-new,2015,0
ES,north-of-sahara,oda-regions,2015,33260000
ES,north-of-sahara,oofs-regions,2015,70000
ES,north-of-sahara,remittances-regions,2015,1834682128.25414
ES,oceania,fdi-regions-new,2015,0
ES,oceania,oda-regions,2015,120000
ES,oceania,oofs-regions,2015,
ES,oceania,remittances-regions,2015,0
ES,south-america,fdi-regions-new,2015,12306156405.99
ES,south-america,oda-regions,2015,65450000
ES,south-america,oofs-regions,2015,
ES,south-america,remittances-regions,2015,2679975949.05404
ES,south-central-asia,fdi-regions-new,2015,0
ES,south-central-asia,oda-regions,2015,6220000
ES,south-central-asia,oofs-regions,2015,
ES,south-central-asia,remittances-regions,2015,497066233.214096
ES,south-of-sahara,fdi-regions-new,2015,0
ES,south-of-sahara,oda-regions,2015,98730000
ES,south-of-sahara,oofs-regions,2015,
ES,south-of-sahara,remittances-regions,2015,1075978859.37729
