country,year,university-college-enrolment
RU,2006,72.89024
RW,2006,3.58709
SA,2006,29.69872
SD,2006,
SN,2006,5.7928
SG,2006,
SB,2006,
SL,2006,
SV,2006,21.16661
SM,2006,
SO,2006,
RS,2006,
SS,2006,
ST,2006,
SR,2006,
SK,2006,44.75797
SI,2006,83.14008
SE,2006,79.34685
SZ,2006,4.44382
SX,2006,
SC,2006,
SY,2006,20.91125
TC,2006,
TD,2006,
TG,2006,5.01831
TH,2006,44.15963
TJ,2006,22.05909
TM,2006,
TL,2006,
TO,2006,
TT,2006,
TN,2006,30.99951
TR,2006,36.58434
TV,2006,
TZ,2006,
UG,2006,3.46287
