country,sector,channel,year,in-oda-gross-sector-channel
62,G,I,2006,251914
62,H,A,2006,1315304
62,H,D,2006,2323626
62,H,E,2006,6698
62,H,J,2006,7178391
62,I,A,2006,114540
62,I,I,2006,126108
62,J,A,2006,1306908
62,J,D,2006,440644
62,J,H,2006,2074080
62,J,I,2006,2015229
62,J,J,2006,1286759
62,K,A,2006,700331
62,K,D,2006,191895
62,K,E,2006,12961
62,K,H,2006,61500
62,K,I,2006,581442
62,K,J,2006,35027750
62,N,A,2006,762090
62,N,D,2006,4494356
62,N,E,2006,18303128
62,N,F,2006,83055
62,N,H,2006,27286189
62,N,I,2006,869310
62,N,J,2006,1023579
63,A,A,2006,1977038
63,A,D,2006,777926
63,A,E,2006,292768
63,A,I,2006,114611
63,A,J,2006,3308096
63,B,A,2006,74792
63,B,D,2006,2041352
63,B,J,2006,958688
63,C,I,2006,593322
63,C,J,2006,201974
63,D,A,2006,282456
63,D,D,2006,21770056
63,D,E,2006,231472
63,D,F,2006,138234
63,D,H,2006,113960
63,D,J,2006,4824958
63,E,A,2006,4330
63,E,D,2006,845636
63,E,H,2006,328564
63,E,I,2006,10075
63,E,J,2006,3198739
63,F,A,2006,112412
63,F,D,2006,72705
63,F,J,2006,2393353
63,G,D,2006,2992
63,G,I,2006,26508049
63,G,J,2006,121093
63,H,E,2006,734039
63,H,F,2006,157907
63,H,H,2006,1685589
63,H,I,2006,1574552
63,H,J,2006,1180933
63,I,A,2006,1267126
63,I,H,2006,3674537
63,I,J,2006,65418
63,J,D,2006,183916
63,J,E,2006,977916
63,J,H,2006,629269
63,J,J,2006,133609
63,K,A,2006,659464
63,K,D,2006,3989703
63,K,E,2006,1700579
63,K,I,2006,5842
63,K,J,2006,2891529
63,N,D,2006,4205547
63,N,E,2006,97451
63,N,H,2006,1136591
63,N,J,2006,286125
64,A,J,2006,90990
64,B,A,2006,522963
64,B,D,2006,53692
64,B,J,2006,60625
64,C,A,2006,24761
64,D,A,2006,19481
64,D,D,2006,1190377
64,D,E,2006,21654
64,D,J,2006,1454767
64,E,D,2006,4613
64,E,I,2006,576916
64,E,J,2006,1627169
64,F,H,2006,166981
64,F,I,2006,14968654
64,G,D,2006,989
64,G,I,2006,14363192
64,H,A,2006,869233
64,H,H,2006,655879
64,I,I,2006,77653
64,I,J,2006,4511
64,J,J,2006,135615
64,K,A,2006,1081366
64,K,D,2006,109886
64,K,H,2006,1273483
64,K,J,2006,638428
64,N,D,2006,8841579
64,N,E,2006,17141464
64,N,F,2006,996661
64,N,G,2006,668870
64,N,H,2006,38707446
64,N,I,2006,26303
64,N,J,2006,119553
65,A,A,2006,13913629
65,A,D,2006,243628
65,A,E,2006,298284
65,A,F,2006,442140
65,A,G,2006,276469
65,A,H,2006,1654720
65,A,I,2006,8287043
65,A,J,2006,13144197
65,B,A,2006,49706957
65,B,D,2006,37869329
65,B,E,2006,9593281
65,B,F,2006,1382323
65,B,G,2006,6911615
65,B,H,2006,26843686
65,B,I,2006,51483571
65,B,J,2006,112086568
65,C,A,2006,16256290
65,C,D,2006,3096251
65,C,E,2006,717070
65,C,G,2006,2434538
65,C,H,2006,21925533
65,C,I,2006,6023318
65,C,J,2006,925596
