country,channel,year,out-oda-gross-channel
CA,A,2010,1300954632
CA,C,2010,278865262
CA,D,2010,187937726
CA,E,2010,580051984
CA,F,2010,63583141
CA,G,2010,3788116
CA,H,2010,1515167884
CA,I,2010,365534807
CH,A,2010,10396335
CH,B,2010,772643884
CH,C,2010,122470731
CH,E,2010,447233617
CH,F,2010,97868730
CH,G,2010,14074318
CH,H,2010,327591530
CH,I,2010,139080749
DE,A,2010,6431704309
DE,D,2010,119466644
DE,E,2010,821794445
DE,F,2010,126088
DE,G,2010,31617069
DE,H,2010,478284861
DE,I,2010,1523638990
DK,A,2010,7950241
DK,B,2010,484133840
DK,C,2010,790775678
DK,E,2010,371484720
DK,F,2010,66626416
DK,G,2010,9635559
DK,H,2010,242729360
DK,I,2010,115929970
DK,J,2010,95858570
ES,A,2010,6581585
ES,B,2010,638616699
ES,C,2010,665905788
ES,E,2010,881001546
ES,F,2010,21170159
ES,G,2010,94062997
ES,H,2010,1309858542
ES,I,2010,632417146
EU,A,2010,4331380743
EU,B,2010,13605246
EU,C,2010,2228220943
EU,D,2010,694514661
EU,E,2010,930980360
EU,F,2010,14513377
EU,G,2010,14936160
EU,H,2010,2265387059
EU,I,2010,2012889312
FI,A,2010,25287949
FI,B,2010,184380514
FI,C,2010,69311336
FI,D,2010,1060409
FI,E,2010,175968478
FI,F,2010,908301
FI,G,2010,4468972
FI,H,2010,257044348
FI,I,2010,142721614
FR,A,2010,3159756619
FR,B,2010,5115372828
FR,C,2010,432513798
FR,D,2010,80299961
FR,E,2010,50481895
FR,F,2010,24186108
FR,G,2010,226788284
FR,H,2010,39102034
FR,I,2010,262742
FR,J,2010,827198
GB,A,2010,546711726
GB,B,2010,375799119
GB,C,2010,1730518005
GB,D,2010,209244095
GB,E,2010,894299897
GB,F,2010,141901450
GB,G,2010,80992790
GB,H,2010,3173710724
GB,I,2010,1753643447
GB,J,2010,20453542
GR,A,2010,933392
GR,B,2010,114156258
GR,C,2010,4361165
GR,E,2010,2522879
GR,G,2010,478362
GR,H,2010,5928557
GR,I,2010,77662197
IE,A,2010,4324401
IE,B,2010,49153661
IE,C,2010,170384723
IE,E,2010,197299166
IE,F,2010,27290183
IE,G,2010,6798036
IE,H,2010,101825957
IE,I,2010,20227639
IT,A,2010,622330725
IT,C,2010,156693538
IT,D,2010,78206744
IT,E,2010,7554067
IT,G,2010,3227561
IT,H,2010,92076644
IT,I,2010,13275367
JP,B,2010,900651361
JP,C,2010,12917506732
JP,E,2010,347186917
JP,F,2010,141729046
JP,G,2010,1148302
JP,H,2010,1338337077
JP,I,2010,551404170
KR,A,2010,45522
KR,B,2010,901996140
KR,C,2010,145165
KR,E,2010,18781345
KR,G,2010,8285358
KR,H,2010,47559806
KR,I,2010,4885591
KW,C,2010,175282280
KW,H,2010,40489
KW,I,2010,473536573
LU,A,2010,127210702
LU,E,2010,81749315
LU,F,2010,2464122
LU,G,2010,793306
LU,H,2010,102577500
LU,I,2010,9649896
NL,A,2010,1979735150
NL,B,2010,28978
NL,C,2010,226948319
NL,E,2010,1338131748
