country,admin1,admin1-name,lat,long,geonames-id
CH,CH.AI,Appenzell Innerrhoden,,,2661741
CH,CH.AG,Aargau,,,2661876
CI,CI.82,Lagunes,,,2597316
CI,CI.89,Sud-Comoe,,,2597317
CI,CI.74,Agneby,,,2597318
CI,CI.80,Haut-Sassandra,,,2597319
CI,CI.87,Savanes,,,2597320
CI,CI.90,Vallee du Bandama,,,2597321
CI,CI.85,Moyen-Comoe,,,2597322
CI,CI.78,Dix-Huit Montagnes,,,2597323
CI,CI.81,Lacs,,,2597324
CI,CI.92,Zanzan,,,2597325
CI,CI.76,Bas-Sassandra,,,2597326
CI,CI.91,Worodougou,,,2597327
CI,CI.77,Denguele,,,2597328
CI,CI.88,Sud-Bandama,,,2597329
CI,CI.79,Fromager,,,2597330
CI,CI.86,N'zi-Comoe,,,2597331
CI,CI.83,Marahoue,,,2597332
CI,CI.84,Moyen-Cavally,,,2597333
CI,CI.75,Bafing,,,2597334
CL,CL.01,Valparaiso,,,3868621
CL,CL.15,Tarapaca,,,3870116
CL,CL.12,Santiago Metropolitan,,,3873544
CL,CL.11,Maule,,,3880306
CL,CL.14,Los Lagos,,,3881974
CL,CL.08,O'Higgins,,,3883281
CL,CL.07,Coquimbo,,,3893623
CL,CL.06,Biobio,,,3898380
CL,CL.05,Atacama,,,3899191
CL,CL.04,Araucania,,,3899463
CL,CL.03,Antofagasta,,,3899537
CL,CL.02,Aisen,,,3900333
CL,CL.10,Magallanes,,,4036650
CL,CL.16,Arica y Parinacota,,,6693562
CL,CL.17,Los Rios,,,6693563
CM,CM.09,South-West Province,,,2221788
CM,CM.14,South Province,,,2221789
CM,CM.08,West,,,2222934
CM,CM.07,North-West Province,,,2223602
CM,CM.13,North Province,,,2223603
CM,CM.05,Littoral,,,2229336
CM,CM.12,Far North,,,2231755
CM,CM.04,East,,,2231835
CM,CM.11,Centre,,,2233376
CM,CM.10,Adamaoua,,,2236015
CN,CN.14,Tibet Autonomous Region,,,1279685
CN,CN.06,Qinghai Sheng,,,1280239
CN,CN.13,Xinjiang Uygur Zizhiqu,,,1529047
CN,CN.02,Zhejiang Sheng,,,1784764
CN,CN.29,Yunnan,,,1785694
CN,CN.28,Tianjin Shi,,,1792943
CN,CN.32,Sichuan,,,1794299
CN,CN.24,Shanxi Sheng,,,1795912
CN,CN.23,Shanghai Shi,,,1796231
CN,CN.25,Shandong Sheng,,,1796328
CN,CN.26,Shaanxi,,,1796480
CN,CN.21,Ningxia Huizu Zizhiqu,,,1799355
CN,CN.03,Jiangxi Sheng,,,1806222
CN,CN.04,Jiangsu Sheng,,,1806260
CN,CN.11,Hunan,,,1806691
CN,CN.12,Hubei,,,1806949
CN,CN.09,Henan Sheng,,,1808520
CN,CN.10,Hebei,,,1808773
CN,CN.31,Hainan,,,1809054
CN,CN.18,Guizhou Sheng,,,1809445
CN,CN.16,Guangxi Zhuangzu Zizhiqu,,,1809867
CN,CN.30,Guangdong,,,1809935
CN,CN.15,Gansu Sheng,,,1810676
CN,CN.07,Fujian,,,1811017
CN,CN.33,Chongqing Shi,,,1814905
CN,CN.01,Anhui Sheng,,,1818058
CN,CN.20,Inner Mongolia,,,2035607
CN,CN.19,Liaoning,,,2036115
CN,CN.05,Jilin Sheng,,,2036500
CN,CN.08,Heilongjiang Sheng,,,2036965
CN,CN.22,Beijing,,,2038349
CO,CO.31,Vichada,,,3666082
CO,CO.30,Vaupes,,,3666254
CO,CO.29,Valle del Cauca,,,3666313
CO,CO.28,Tolima,,,3666951
CO,CO.27,Sucre,,,3667725
CO,CO.26,Santander,,,3668578
CO,CO.25,"Archipielago de San Andres, Providencia y Santa Catalina",,,3670205
CO,CO.24,Risaralda,,,3670698
CO,CO.23,Quindio,,,3671087
CO,CO.22,Putumayo,,,3671178
CO,CO.21,Norte de Santander,,,3673798
CO,CO.20,Narino,,,3674021
CO,CO.19,Meta,,,3674810
CO,CO.38,Magdalena,,,3675686
CO,CO.17,La Guajira,,,3678847
CO,CO.16,Huila,,,3680692
CO,CO.14,Guaviare,,,3681344
CO,CO.15,Guainia,,,3681652
