id,year,direction,flow-type,flow-name,value
BW,2013,in,commercial,net-portfolio-equity-in,1927893.678
BW,2013,out,official,oofs-interest-payments-out,17650000
BW,2013,in,official,oofs-in,27580000
BW,2013,out,official,oda-interest-payments-out,3120000
BW,2013,in,commercial,fdi-in,192921911.1
BW,2013,in,private,remittances-in,36253475.24
BW,2012,out,illicit,trade-mispricing-out,1925660069
BW,2013,out,private,remittances-out,na
BW,2012,in,official,dfis-in,998751.56
BW,2012,out,illicit,illicit-financing-out,0
BW,2013,in,commercial,long-debt-disbursement-commercial-in,0
BW,2013,in,commercial,short-debt-net-flow-in,62514198.67
BW,2013,out,commercial,long-debt-capital-payments-out,4607000
BW,2013,out,commercial,long-debt-interest-payments-out,4607000
BW,2013,out,commercial,short-debt-interest-out,5484852.316
BY,2011,in,private,pda-in,na
BY,2013,in,official,ssc-in,na
BY,2013,in,official,oda-in,106810000
BY,2013,in,commercial,fdi-in-profits-out,2142014264
BY,2013,out,commercial,fdi-out,155856694.1
BY,2013,out,official,oda-capital-payments-out,5040000
BY,2013,out,official,oofs-capital-payments-out,88770000
BY,2013,in,commercial,net-portfolio-equity-in,1804941.449
BY,2013,out,official,oofs-interest-payments-out,13200000
BY,2013,in,official,oofs-in,381550000
BY,2013,out,official,oda-interest-payments-out,1670000
BY,2013,in,commercial,fdi-in,2014946386
BY,2013,in,private,remittances-in,1133847558
BY,2012,out,illicit,trade-mispricing-out,13903304371
BY,2013,out,private,remittances-out,135190114.5
BY,2012,in,official,dfis-in,77387631.9
BY,2012,out,illicit,illicit-financing-out,0
BY,2013,in,commercial,long-debt-disbursement-commercial-in,3071775000
BY,2013,in,commercial,short-debt-net-flow-in,1763788784
BY,2013,out,commercial,long-debt-capital-payments-out,2075538000
BY,2013,out,commercial,long-debt-interest-payments-out,516201000
BY,2013,out,commercial,short-debt-interest-out,194402121.2
BZ,2011,in,private,pda-in,na
BZ,2013,in,official,ssc-in,na
BZ,2013,in,official,oda-in,54950000
BZ,2013,in,commercial,fdi-in-profits-out,86295240.05
BZ,2013,out,commercial,fdi-out,693440.0489
BZ,2013,out,official,oda-capital-payments-out,6080000
BZ,2013,out,official,oofs-capital-payments-out,15550000
BZ,2013,in,commercial,net-portfolio-equity-in,0
BZ,2013,out,official,oofs-interest-payments-out,4430000
BZ,2013,in,official,oofs-in,20940000
BZ,2013,out,official,oda-interest-payments-out,1470000
BZ,2013,in,commercial,fdi-in,90451631.1
BZ,2013,in,private,remittances-in,71906063.59
BZ,2012,out,illicit,trade-mispricing-out,139631194.8
BZ,2013,out,private,remittances-out,31934932.95
BZ,2012,in,official,dfis-in,28237692.45
BZ,2012,out,illicit,illicit-financing-out,3948970.562
BZ,2013,in,commercial,long-debt-disbursement-commercial-in,41349000
BZ,2013,in,commercial,short-debt-net-flow-in,0
BZ,2013,out,commercial,long-debt-capital-payments-out,91085000
BZ,2013,out,commercial,long-debt-interest-payments-out,20530000
BZ,2013,out,commercial,short-debt-interest-out,0
CD,2011,in,private,pda-in,na
CD,2013,in,official,ssc-in,na
CD,2013,in,official,oda-in,2596100000
CD,2013,in,commercial,fdi-in-profits-out,0
CD,2013,out,commercial,fdi-out,394689148.6
CD,2013,out,official,oda-capital-payments-out,42130000
CD,2013,out,official,oofs-capital-payments-out,189740000
CD,2013,in,commercial,net-portfolio-equity-in,0
CD,2013,out,official,oofs-interest-payments-out,180280000
CD,2013,in,official,oofs-in,9360000
CD,2013,out,official,oda-interest-payments-out,11000000
CD,2013,in,commercial,fdi-in,2066962981
CD,2013,in,private,remittances-in,11929750.56
CD,2012,out,illicit,trade-mispricing-out,0
CD,2013,out,private,remittances-out,na
CD,2012,in,official,dfis-in,323591137.3
CD,2012,out,illicit,illicit-financing-out,148309948.1
CD,2013,in,commercial,long-debt-disbursement-commercial-in,515999.9995
CD,2013,in,commercial,short-debt-net-flow-in,213764403
CD,2013,out,commercial,long-debt-capital-payments-out,10550000
CD,2013,out,commercial,long-debt-interest-payments-out,228000
CD,2013,out,commercial,short-debt-interest-out,4477231.39
CF,2011,in,private,pda-in,na
CF,2013,in,official,ssc-in,na
CF,2013,in,official,oda-in,195030000
CF,2013,in,commercial,fdi-in-profits-out,0
CF,2013,out,commercial,fdi-out,0
CF,2013,out,official,oda-capital-payments-out,9130000
CF,2013,out,official,oofs-capital-payments-out,0
CF,2013,in,commercial,net-portfolio-equity-in,0
CF,2013,out,official,oofs-interest-payments-out,200000
CF,2013,in,official,oofs-in,0
CF,2013,out,official,oda-interest-payments-out,700000
CF,2013,in,commercial,fdi-in,1176246.741
CF,2013,in,private,remittances-in,0
CF,2012,out,illicit,trade-mispricing-out,42833903.88
CF,2013,out,private,remittances-out,na
CF,2012,in,official,dfis-in,72173032.6
CF,2012,out,illicit,illicit-financing-out,na
CF,2013,in,commercial,long-debt-disbursement-commercial-in,0
CF,2013,in,commercial,short-debt-net-flow-in,-1470308.427
CF,2013,out,commercial,long-debt-capital-payments-out,1227000
CF,2013,out,commercial,long-debt-interest-payments-out,0
CF,2013,out,commercial,short-debt-interest-out,430800.369
CG,2011,in,private,pda-in,na
CG,2013,in,official,ssc-in,na
CG,2013,in,official,oda-in,175500000
CG,2013,in,commercial,fdi-in-profits-out,0
CG,2013,out,commercial,fdi-out,0
CG,2013,out,official,oda-capital-payments-out,27560000
CG,2013,out,official,oofs-capital-payments-out,10790000
CG,2013,in,commercial,net-portfolio-equity-in,0
CG,2013,out,official,oofs-interest-payments-out,3790000
CG,2013,in,official,oofs-in,60000
CG,2013,out,official,oda-interest-payments-out,2240000
CG,2013,in,commercial,fdi-in,2147416305
CG,2013,in,private,remittances-in,0
CG,2012,out,illicit,trade-mispricing-out,876473305.3
CG,2013,out,private,remittances-out,na
CG,2012,in,official,dfis-in,53608325.17
CG,2012,out,illicit,illicit-financing-out,na
