country-id,year,population-urban
TUV,2008,0.005
TUV,2009,0.005
TUV,2010,0.005
TUV,2011,0.005
TUV,2012,0.005
TZA,2005,9.392
TZA,2006,9.83
TZA,2007,10.291
TZA,2008,10.777
TZA,2009,11.286
TZA,2010,11.819
TZA,2011,12.396
TZA,2012,13
UGA,2005,3.805
UGA,2006,4.05
UGA,2007,4.306
UGA,2008,4.574
UGA,2009,4.856
UGA,2010,5.152
UGA,2011,5.476
UGA,2012,5.815
UKR,2005,31.933
UKR,2006,31.801
UKR,2007,31.695
UKR,2008,31.607
UKR,2009,31.549
UKR,2010,31.506
UKR,2011,31.484
UKR,2012,31.497
URY,2005,3.057
URY,2006,3.065
URY,2007,3.076
URY,2008,3.089
URY,2009,3.103
URY,2010,3.117
URY,2011,3.131
URY,2012,3.145
UZB,2005,9.597
UZB,2006,9.69
UZB,2007,9.803
UZB,2008,9.936
UZB,2009,10.079
UZB,2010,10.341
UZB,2011,10.635
UZB,2012,10.806
VCT,2005,0.051
VCT,2006,0.052
VCT,2007,0.052
VCT,2008,0.053
VCT,2009,0.053
VCT,2010,0.053
VCT,2011,0.054
VCT,2012,0.054
VEN,2005,24.564
VEN,2006,25.068
VEN,2007,25.574
VEN,2008,26.082
VEN,2009,26.592
VEN,2010,27.101
VEN,2011,27.585
VEN,2012,28.066
VNM,2005,22.478
VNM,2006,23.247
VNM,2007,24.025
VNM,2008,24.812
VNM,2009,25.61
VNM,2010,26.421
VNM,2011,27.262
VNM,2012,28.122
VUT,2005,0.048
VUT,2006,0.05
VUT,2007,0.052
VUT,2008,0.054
VUT,2009,0.056
VUT,2010,0.058
VUT,2011,0.06
VUT,2012,0.062
WBG,2005,2.426
WBG,2006,2.496
WBG,2007,2.568
WBG,2008,2.651
WBG,2009,2.737
WBG,2010,2.825
WBG,2011,2.92
WBG,2012,3.018
WSM,2005,0.038
WSM,2006,0.038
WSM,2007,0.038
WSM,2008,0.038
WSM,2009,0.038
WSM,2010,0.037
WSM,2011,0.037
WSM,2012,0.037
YEM,2005,5.828
YEM,2006,6.095
YEM,2007,6.367
YEM,2008,6.646
YEM,2009,6.931
YEM,2010,7.225
YEM,2011,7.533
YEM,2012,7.849
ZAF,2005,28.229
ZAF,2006,28.824
ZAF,2007,29.43
ZAF,2008,30.049
ZAF,2009,30.68
ZAF,2010,31.324
ZAF,2011,31.973
ZAF,2012,32.634
ZAR,2005,16.835
ZAR,2006,17.607
ZAR,2007,18.407
ZAR,2008,19.234
ZAR,2009,20.09
ZAR,2010,20.975
ZAR,2011,21.915
ZAR,2012,22.886
ZMB,2005,4.199
ZMB,2006,4.363
ZMB,2007,4.536
ZMB,2008,4.719
ZMB,2009,4.912
ZMB,2010,5.118
ZMB,2011,5.34
ZMB,2012,5.575
ZWE,2005,4.558
ZWE,2006,
ZWE,2007,4.684
ZWE,2008,4.758
ZWE,2009,4.856
ZWE,2010,4.986
ZWE,2011,5.159
ZWE,2012,5.368
