country,year,from_illicitfinance
MA,2007,0.00
MA,2008,380.26
MA,2009,492.32
MA,2010,156.44
MA,2011,229.34
MD,2001,0.00
MD,2002,68.99
MD,2003,0.00
MD,2004,0.00
MD,2005,0.00
MD,2006,0.00
MD,2007,0.00
MD,2008,0.00
MD,2009,0.00
MD,2010,0.00
MD,2011,0.00
ME,2001,
ME,2002,
ME,2003,
ME,2004,
ME,2005,
ME,2006,
ME,2007,244.97
ME,2008,0.00
ME,2009,0.00
ME,2010,0.00
ME,2011,0.00
MG,2001,96.84
MG,2002,0.00
MG,2003,0.00
MG,2004,62.41
MG,2005,0.00
MG,2006,
MG,2007,
MG,2008,
MG,2009,
MG,2010,
MG,2011,
MK,2001,2.79
MK,2002,17.84
MK,2003,49.83
MK,2004,0.00
MK,2005,7.55
MK,2006,0.00
MK,2007,55.49
MK,2008,28.68
MK,2009,0.00
MK,2010,0.42
MK,2011,5.21
ML,2001,0.00
ML,2002,13.10
ML,2003,0.00
ML,2004,39.69
ML,2005,42.27
ML,2006,51.24
ML,2007,0.00
ML,2008,0.00
ML,2009,79.26
ML,2010,0.00
ML,2011,
MM,2001,39.04
MM,2002,55.63
MM,2003,169.30
MM,2004,344.07
MM,2005,1474.89
MM,2006,1427.41
MM,2007,616.27
MM,2008,1746.14
MM,2009,1235.62
MM,2010,2108.16
MM,2011,0.00
MN,2001,109.05
MN,2002,0.00
MN,2003,17.87
MN,2004,0.00
MN,2005,170.69
MN,2006,24.94
MN,2007,342.49
MN,2008,1028.08
MN,2009,0.00
MN,2010,0.00
MN,2011,79.72
MR,2001,
MR,2002,
MR,2003,
MR,2004,
MR,2005,
MR,2006,
MR,2007,
MR,2008,
MR,2009,
MR,2010,
MR,2011,
MU,2001,139.88
MU,2002,0.00
MU,2003,0.00
MU,2004,0.00
MU,2005,0.00
MU,2006,0.00
MU,2007,0.00
MU,2008,0.00
MU,2009,0.00
MU,2010,0.00
MU,2011,0.00
MV,2001,5.41
MV,2002,0.00
MV,2003,0.00
MV,2004,0.00
MV,2005,0.00
MV,2006,0.00
MV,2007,0.00
MV,2008,0.00
MV,2009,0.00
MV,2010,0.00
MV,2011,0.00
MW,2001,310.00
MW,2002,0.00
MW,2003,29.35
MW,2004,0.00
MW,2005,23.78
MW,2006,36.49
MW,2007,0.00
MW,2008,120.79
MW,2009,40.16
MW,2010,0.00
MW,2011,51.52
MX,2001,4160.68
MX,2002,2345.21
MX,2003,5731.05
MX,2004,6045.41
MX,2005,4689.35
MX,2006,92.69
MX,2007,0.00
MX,2008,5093.79
MX,2009,5121.40
MX,2010,20615.14
MX,2011,10454.70
MY,2001,4550.92
MY,2002,719.85
MY,2003,7.49
MY,2004,0.00
MY,2005,10065.43
MY,2006,10668.53
MY,2007,6645.81
MY,2008,9643.47
MY,2009,6618.54
MY,2010,23660.02
MY,2011,9944.78
MZ,2001,94.24
MZ,2002,100.38
MZ,2003,0.00
MZ,2004,0.00
MZ,2005,0.00
MZ,2006,0.00
MZ,2007,0.00
MZ,2008,0.00
MZ,2009,0.00
MZ,2010,0.00
MZ,2011,0.00
NA,2001,38.57
NA,2002,0.00
NA,2003,150.38
NA,2004,0.00
NA,2005,0.00
NA,2006,0.00
NA,2007,0.00
NA,2008,0.00
NA,2009,0.00
NA,2010,338.09
