id,year,value,budget-type
CV,2016,2357.2646471582,proj
CV,2017,2452.6848452082,proj
CV,2018,,proj
CV,2019,,proj
CV,2020,,proj
CY,2000,6448.1327645512,actual
CY,2001,7290.9512439874,actual
CY,2002,7918.777614274,actual
CY,2003,9608.8747650493,actual
CY,2004,10098.6993564583,actual
CY,2005,11273.397559442,actual
CY,2006,12188.7488864031,actual
CY,2007,13108.9245673547,actual
CY,2008,14780.2342514549,actual
CY,2009,15531.3961371514,actual
CY,2010,15912.6737677695,actual
CY,2011,16267.2109809908,actual
CY,2012,15855.5101386255,actual
CY,2013,14509.079920044,actual
CY,2014,13228.5079530792,actual
CY,2015,13379.2893323685,actual
CY,2016,12908.4228694458,proj
CY,2017,13027.048171362,proj
CY,2018,13569.7484496504,proj
CY,2019,14339.4920738077,proj
CY,2020,15045.1827947711,proj
CY,2021,15787.7314883506,proj
CZ,2000,5323.02806398,actual
CZ,2001,6375.8078181671,actual
CZ,2002,7145.394113688,actual
CZ,2003,8288.0437449567,actual
CZ,2004,8173.5610586929,actual
CZ,2005,8646.5871931115,actual
CZ,2006,9123.9309276316,actual
CZ,2007,10077.4095681674,actual
CZ,2008,10736.4507652181,actual
CZ,2009,11597.5608508893,actual
CZ,2010,11310.9592941415,actual
CZ,2011,11533.0477607132,actual
CZ,2012,12151.8502657907,actual
CZ,2013,11904.31977057,actual
CZ,2014,12735.9590479098,actual
CZ,2015,13416.5311327048,actual
CZ,2016,13462.560074124,proj
CZ,2017,14279.7854827017,proj
CZ,2018,15150.788830607,proj
CZ,2019,16016.9885377643,proj
CZ,2020,16967.6522131036,proj
CZ,2021,17978.9836370306,proj
DE,2000,12086.5226802539,actual
DE,2001,13169.0816173436,actual
DE,2002,13610.4766926613,actual
DE,2003,14005.4817954304,actual
DE,2004,14096.5654921775,actual
DE,2005,14325.2544121986,actual
DE,2006,14456.807402727,actual
DE,2007,14791.1761509896,actual
DE,2008,15553.0754075824,actual
DE,2009,16627.7037727539,actual
DE,2010,17483.2812641927,actual
DE,2011,17815.8849575304,actual
DE,2012,18208.2013509272,actual
DE,2013,19126.1726709788,actual
DE,2014,19901.6765826129,actual
DE,2015,20651.076966065,actual
DE,2016,21775.0329616432,proj
DE,2017,22412.5899282443,proj
DE,2018,23227.6091851901,proj
