country-id,year,long-debt-usd-2012,,,,,,,,
 GH ,2000,206492351,,,,,,,,
 GH ,2001,717799751,,,,,,,,
 GH ,2002,140969772,,,,,,,,
 GH ,2003,94015302,,,,,,,,
 GH ,2004,119783906,,,,,,,,
 GH ,2005,100964654,,,,,,,,
 GH ,2006,72072421,,,,,,,,
 GH ,2007,946350648,,,,,,,,
 GH ,2008,158695999,,,,,,,,
 GH ,2009,326566292,,,,,,,,
 GH ,2010,1326018936,,,,,,,,
 GH ,2011,492125682,,,,,,,,
 GH ,2012,1596928969,,,,,,,,
 GM ,2000,,,,,,,,,
 GM ,2001,,,,,,,,,
 GM ,2002,62422069,,,,,,,,
 GM ,2003,50656647,,,,,,,,
 GM ,2004,64240253,,,,,,,,
 GM ,2005,62431102,,,,,,,,
 GM ,2006,56939125,,,,,,,,
 GM ,2007,37499197,,,,,,,,
 GM ,2008,30745297,,,,,,,,
 GM ,2009,738026,,,,,,,,
 GM ,2010,40409901,,,,,,,,
 GM ,2011,,,,,,,,,
 GM ,2012,7331000,,,,,,,,
 GN ,2000,92909962,,,,,,,,
 GN ,2001,,,,,,,,,
 GN ,2002,,,,,,,,,
 GN ,2003,76966036,,,,,,,,
 GN ,2004,1544861,,,,,,,,
 GN ,2005,148456157,,,,,,,,
 GN ,2006,123183033,,,,,,,,
 GN ,2007,87684301,,,,,,,,
 GN ,2008,,,,,,,,,
 GN ,2009,46420298,,,,,,,,
 GN ,2010,,,,,,,,,
 GN ,2011,34410734,,,,,,,,
 GN ,2012,,,,,,,,,
 GT ,2000,,,,,,,,,
 GT ,2001,950580496,,,,,,,,
 GT ,2002,566356570,,,,,,,,
 GT ,2003,801699596,,,,,,,,
 GT ,2004,1330921175,,,,,,,,
 GT ,2005,2356322893,,,,,,,,
 GT ,2006,2580982398,,,,,,,,
 GT ,2007,2873946351,,,,,,,,
 GT ,2008,1107613379,,,,,,,,
 GT ,2009,162316121,,,,,,,,
 GT ,2010,1665347147,,,,,,,,
 GT ,2011,1055092187,,,,,,,,
 GT ,2012,1372586735,,,,,,,,
 GW ,2000,,,,,,,,,
 GW ,2001,,,,,,,,,
 GW ,2002,,,,,,,,,
 GW ,2003,29013409,,,,,,,,
 GW ,2004,40075690,,,,,,,,
 GW ,2005,18547984,,,,,,,,
 GW ,2006,12095636,,,,,,,,
 GW ,2007,,,,,,,,,
 GW ,2008,6676403,,,,,,,,
 GW ,2009,5477932,,,,,,,,
 GW ,2010,,,,,,,,,
 GW ,2011,,,,,,,,,
 GW ,2012,2661998,,,,,,,,
 GY ,2000,,,,,,,,,
 GY ,2001,,,,,,,,,
 GY ,2002,,,,,,,,,
 GY ,2003,,,,,,,,,
 GY ,2004,,,,,,,,,
 GY ,2005,164803739,,,,,,,,
 GY ,2006,164188192,,,,,,,,
 GY ,2007,135756052,,,,,,,,
 GY ,2008,172228476,,,,,,,,
 GY ,2009,127723839,,,,,,,,
 GY ,2010,140356723,,,,,,,,
 GY ,2011,198475830,,,,,,,,
 GY ,2012,279232936,,,,,,,,
 HN ,2000,302530086,,,,,,,,
 HN ,2001,188099328,,,,,,,,
 HN ,2002,194904631,,,,,,,,
 HN ,2003,494636540,,,,,,,,
 HN ,2004,394320535,,,,,,,,
 HN ,2005,714326094,,,,,,,,
 HN ,2006,187167031,,,,,,,,
 HN ,2007,510502170,,,,,,,,
 HN ,2008,797627974,,,,,,,,
 HN ,2009,802341281,,,,,,,,
 HN ,2010,986118874,,,,,,,,
 HN ,2011,902655572,,,,,,,,
 HN ,2012,1416100588,,,,,,,,
 HT ,2000,92403739,,,,,,,,
 HT ,2001,,,,,,,,,
 HT ,2002,,,,,,,,,
 HT ,2003,,,,,,,,,
 HT ,2004,,,,,,,,,
 HT ,2005,,,,,,,,,
 HT ,2006,,,,,,,,,
 HT ,2007,,,,,,,,,
 HT ,2008,405217419,,,,,,,,
 HT ,2009,247557408,,,,,,,,
 HT ,2010,311277784,,,,,,,,
 HT ,2011,347421283,,,,,,,,
 HT ,2012,346361963,,,,,,,,
 HU ,2000,13935969728,,,,,,,,
 HU ,2001,27231142703,,,,,,,,
 HU ,2002,32929683827,,,,,,,,
 HU ,2003,28174458601,,,,,,,,
 HU ,2004,36844422616,,,,,,,,
 HU ,2005,30268108882,,,,,,,,
 HU ,2006,79182491594,,,,,,,,
 HU ,2007,50906280454,,,,,,,,
 HU ,2008,96157468260,,,,,,,,
 HU ,2009,1.03173E+11,,,,,,,,
 HU ,2010,65948710368,,,,,,,,
 HU ,2011,1.04727E+11,,,,,,,,
 HU ,2012,99030357000,,,,,,,,
 ID ,2000,7376126990,,,,,,,,
 ID ,2001,6482384595,,,,,,,,
 ID ,2002,5257323588,,,,,,,,
 ID ,2003,12004544447,,,,,,,,
 ID ,2004,17425607789,,,,,,,,
 ID ,2005,23205408656,,,,,,,,
 ID ,2006,24933180807,,,,,,,,
 ID ,2007,22108194171,,,,,,,,
 ID ,2008,25061689713,,,,,,,,
 ID ,2009,42607554619,,,,,,,,
 ID ,2010,32532934067,,,,,,,,
 ID ,2011,38243917389,,,,,,,,
 ID ,2012,49764307000,,,,,,,,
 IN ,2000,12327002570,,,,,,,,
 IN ,2001,10701709448,,,,,,,,
 IN ,2002,8680255545,,,,,,,,
 IN ,2003,23862475946,,,,,,,,
 IN ,2004,23235441205,,,,,,,,
 IN ,2005,20816224510,,,,,,,,
 IN ,2006,36908928816,,,,,,,,
 IN ,2007,64702355426,,,,,,,,
 IN ,2008,37303334090,,,,,,,,
 IN ,2009,22855864366,,,,,,,,
 IN ,2010,33945471187,,,,,,,,
 IN ,2011,34122109698,,,,,,,,
 IN ,2012,44895030000,,,,,,,,
 IR ,2000,3721128237,,,,,,,,
 IR ,2001,4208066983,,,,,,,,
 IR ,2002,4257509758,,,,,,,,
 IR ,2003,5519541701,,,,,,,,
 IR ,2004,4102114094,,,,,,,,
 IR ,2005,4435641765,,,,,,,,
 IR ,2006,2479114059,,,,,,,,
 IR ,2007,1376654012,,,,,,,,
 IR ,2008,837746575,,,,,,,,
 IR ,2009,430519866,,,,,,,,
 IR ,2010,246927817,,,,,,,,
 IR ,2011,168131294,,,,,,,,
 IR ,2012,17752000,,,,,,,,
 JM ,2000,1361468981,,,,,,,,
 JM ,2001,1307377543,,,,,,,,
 JM ,2002,500948132,,,,,,,,
 JM ,2003,230496021,,,,,,,,
 JM ,2004,1424899625,,,,,,,,
 JM ,2005,1784421609,,,,,,,,
 JM ,2006,1563224610,,,,,,,,
 JM ,2007,2895600884,,,,,,,,
 JM ,2008,791912371,,,,,,,,
 JM ,2009,1894700548,,,,,,,,
 JM ,2010,2613424559,,,,,,,,
 JM ,2011,813142317,,,,,,,,
 JM ,2012,2033143815,,,,,,,,
 JO ,2000,,,,,,,,,
 JO ,2001,1255961997,,,,,,,,
 JO ,2002,105008310,,,,,,,,
 JO ,2003,,,,,,,,,
 JO ,2004,373680158,,,,,,,,
 JO ,2005,749825519,,,,,,,,
 JO ,2006,510394055,,,,,,,,
 JO ,2007,121835503,,,,,,,,
 JO ,2008,131087926,,,,,,,,
 JO ,2009,37030864,,,,,,,,
 JO ,2010,1014772650,,,,,,,,
 JO ,2011,156751346,,,,,,,,
 JO ,2012,298789000,,,,,,,,
 KE ,2000,166453843,,,,,,,,
 KE ,2001,10328573,,,,,,,,
 KE ,2002,759987070,,,,,,,,
 KE ,2003,512057881,,,,,,,,
 KE ,2004,72842664,,,,,,,,
 KE ,2005,44940783,,,,,,,,
 KE ,2006,1821620,,,,,,,,
