Country Code,country,year,maternal-mortality
JOR,JO,2009,0
JPN,JP,2009,0
KAZ,KZ,2009,0
KEN,KE,2009,0
KGZ,KG,2009,0
KHM,KH,2009,0
KIR,KI,2009,0
KNA,KN,2009,0
KOR,KR,2009,0
XKS,XK,2009,0
KWT,KW,2009,0
LAO,LA,2009,0
LBN,LB,2009,0
LBR,LR,2009,0
LBY,LY,2009,0
LCA,LC,2009,0
LIE,LI,2009,0
LKA,LK,2009,0
LSO,LS,2009,0
LTU,LT,2009,0
LUX,LU,2009,0
LVA,LV,2009,0
MAC,MO,2009,0
MAF,MF,2009,0
MAR,MA,2009,0
MCO,MC,2009,0
MDA,MD,2009,0
MDG,MG,2009,0
MDV,MV,2009,0
MEX,MX,2009,0
MHL,MH,2009,0
MKD,MK,2009,0
MLI,ML,2009,0
MLT,MT,2009,0
MMR,MM,2009,0
MNE,ME,2009,0
MNG,MN,2009,0
MNP,MP,2009,0
MOZ,MZ,2009,0
MRT,MR,2009,0
MUS,MU,2009,0
MWI,MW,2009,0
MYS,MY,2009,0
NAM,NA,2009,0
NCL,NC,2009,0
NER,NE,2009,0
NGA,NG,2009,0
NIC,NI,2009,0
NLD,NL,2009,0
NOR,NO,2009,0
NPL,NP,2009,0
NZL,NZ,2009,0
OMN,OM,2009,0
PAK,PK,2009,0
PAN,PA,2009,0
PER,PE,2009,0
PHL,PH,2009,0
PLW,PW,2009,0
PNG,PG,2009,0
POL,PL,2009,0
PRI,PR,2009,0
PRK,KP,2009,0
PRT,PT,2009,0
PRY,PY,2009,0
PYF,PF,2009,0
QAT,QA,2009,0
ROU,RO,2009,0
RUS,RU,2009,0
RWA,RW,2009,0
SAU,SA,2009,0
SDN,SD,2009,0
SEN,SN,2009,0
SGP,SG,2009,0
SLB,SB,2009,0
SLE,SL,2009,0
SLV,SV,2009,0
SMR,SM,2009,0
SOM,SO,2009,0
SRB,RS,2009,0
SSD,SS,2009,0
STP,ST,2009,0
SUR,SR,2009,0
SVK,SK,2009,0
SVN,SI,2009,0
SWE,SE,2009,0
SWZ,SZ,2009,0
SXM,SX,2009,0
SYC,SC,2009,0
SYR,SY,2009,0
TCA,TC,2009,0
TCD,TD,2009,0
TGO,TG,2009,0
THA,TH,2009,0
TJK,TJ,2009,0
TKM,TM,2009,0
TLS,TL,2009,0
TON,TO,2009,0
TTO,TT,2009,0
TUN,TN,2009,0
TUR,TR,2009,0
TUV,TV,2009,0
TZA,TZ,2009,0
UGA,UG,2009,0
UKR,UA,2009,0
URY,UY,2009,0
USA,US,2009,0
UZB,UZ,2009,0
VCT,VC,2009,0
VEN,VE,2009,0
VIR,VI,2009,0
VNM,VN,2009,0
VUT,VU,2009,0
PSE,PS,2009,0
WSM,WS,2009,0
YEM,YE,2009,0
ZAF,ZA,2009,0
COD,CD,2009,0
ZMB,ZM,2009,0
ZWE,ZW,2009,0
ABW,AW,2010,0
AND,AD,2010,0
AFG,AF,2010,500
AGO,AO,2010,530
ALB,AL,2010,21
ARE,AE,2010,8
ARG,AR,2010,76
ARM,AM,2010,31
ASM,AS,2010,0
ATG,AG,2010,0
AUS,AU,2010,5
AUT,AT,2010,3
AZE,AZ,2010,27
BDI,BI,2010,820
BEL,BE,2010,7
BEN,BJ,2010,370
BFA,BF,2010,440
BGD,BD,2010,200
BGR,BG,2010,8
BHR,BH,2010,24
BHS,BS,2010,38
BIH,BA,2010,9
BLR,BY,2010,2
BLZ,BZ,2010,60
BMU,BM,2010,0
BOL,BO,2010,230
BRA,BR,2010,68
BRB,BB,2010,83
BRN,BN,2010,27
BTN,BT,2010,140
BWA,BW,2010,210
CAF,CF,2010,960
CAN,CA,2010,13
CHE,CH,2010,8
CHL,CL,2010,24
CHN,CN,2010,36
CIV,CI,2010,750
CMR,CM,2010,640
COG,CG,2010,450
COL,CO,2010,85
COM,KM,2010,380
CPV,CV,2010,58
CRI,CR,2010,33
CUB,CU,2010,80
CUW,CW,2010,0
CYM,KY,2010,0
CYP,CY,2010,10
CZE,CZ,2010,5
DEU,DE,2010,7
DJI,DJ,2010,250
DMA,DM,2010,0
DNK,DK,2010,9
DOM,DO,2010,130
DZA,DZ,2010,92
ECU,EC,2010,90
EGY,EG,2010,50
ERI,ER,2010,450
ESP,ES,2010,6
EST,EE,2010,6
ETH,ET,2010,500
FIN,FI,2010,6
FJI,FJ,2010,62
FRA,FR,2010,12
FRO,FO,2010,0
FSM,FM,2010,100
GAB,GA,2010,260
GBR,GB,2010,11
GEO,GE,2010,42
GHA,GH,2010,410
GIN,GN,2010,690
GMB,GM,2010,460
GNB,GW,2010,600
GNQ,GQ,2010,330
GRC,GR,2010,5
GRD,GD,2010,23
GRL,GL,2010,0
GTM,GT,2010,140
GUM,GU,2010,0
GUY,GY,2010,230
HKG,HK,2010,0
HND,HN,2010,120
HRV,HR,2010,15
HTI,HT,2010,420
HUN,HU,2010,21
IDN,ID,2010,210
IND,IN,2010,220
IRL,IE,2010,10
IRN,IR,2010,25
IRQ,IQ,2010,73
ISL,IS,2010,5
ISR,IL,2010,5
ITA,IT,2010,4
JAM,JM,2010,82
