country-from,country to,sector,bundle,channel,oda
6,NP,G,B,C,3168089
6,NP,G,E,C,506825
6,NP,H,A,C,5212652
6,NP,H,B,C,5230428
6,NP,H,E,C,236396
6,NP,I,E,C,723238
6,NP,J,A,C,10046
6,NP,J,E,C,25000
6,NP,K,A,C,3010555
6,NP,K,B,C,12588760
6,NP,K,E,C,841499
6,NP,N,B,C,2853374
6,NR,D,B,C,2000000
6,PG,B,A,C,567452
6,PG,B,G,C,620194
6,PG,F,A,C,50691898
6,PG,G,A,C,715042
6,PG,I,A,C,7596709
6,PG,K,A,C,0
6,PH,K,A,C,0
6,PK,D,A,C,3172081
6,PK,F,A,C,3089903
6,PK,H,A,C,11990027
6,PK,J,A,C,0
6,PK,K,A,C,26215116
6,PK,K,E,C,0
6,PK,N,A,C,389192
6,PK,N,B,C,2770911
6,PW,K,A,C,0
6,SB,F,A,C,0
6,SB,F,B,C,10120714
6,SB,F,E,C,55585
6,SB,K,A,C,0
6,TH,J,B,C,3000000
6,TJ,D,B,C,12000000
6,TJ,F,A,C,2523033
6,TJ,F,B,C,39530942
6,TJ,H,A,C,883754
6,TJ,H,B,C,2039063
6,TJ,J,A,C,864380
6,TJ,K,A,C,847547
6,TJ,K,B,C,1516082
6,TL,A,G,C,155000
6,TL,C,B,C,1579886
6,TL,C,E,C,23445
6,TL,F,A,C,0
6,TL,F,B,C,7793348
6,TO,C,E,C,181025
6,TO,E,E,C,34523
6,TO,F,G,C,723845
6,TO,K,A,C,0
6,TO,K,B,C,2858223
6,TO,K,E,C,52670
6,TV,D,B,C,0
6,TV,K,A,C,0
6,UZ,A,A,C,866987
6,UZ,C,A,C,23473268
6,UZ,F,A,C,24258796
6,UZ,H,A,C,181830
6,UZ,J,A,C,9237922
6,UZ,K,A,C,0
6,VN,A,A,C,43114648
6,VN,B,A,C,28571352
6,VN,B,B,C,1585005
6,VN,B,E,C,115119
6,VN,C,A,C,19005078
6,VN,D,A,C,24634957
6,VN,F,A,C,87049860
6,VN,G,A,C,0
6,VN,H,A,C,54447474
6,VN,I,A,C,1776771
6,VN,J,A,C,2506621
6,VN,K,A,C,57259481
6,VU,E,A,C,0
6,VU,F,A,C,0
6,VU,K,A,C,0
6,WS,A,A,C,1062323
6,WS,A,E,C,799954
6,WS,D,A,C,10418514
6,WS,F,A,C,6435018
6,WS,F,B,C,3578045
6,WS,K,A,C,0
7,51,C,G,J,2740
7,51,D,B,J,112010
7,51,D,E,J,200000
7,51,D,G,J,430328
7,51,E,E,J,200000
7,51,E,G,J,200000
7,51,H,G,J,1273718
7,51,J,G,J,36060
7,51,K,G,J,18908
7,65,F,E,H,0
7,BF,D,G,J,73400
7,BF,F,A,J,1951109
7,BF,F,E,J,0
7,BF,F,G,J,138520
7,BF,H,A,J,0
7,BF,K,A,J,2653448
7,BI,F,A,J,4481499
7,BI,H,A,J,0
7,BI,H,G,J,170630
7,BI,K,A,J,0
7,BI,K,G,J,57239
7,BJ,A,A,J,0
7,BJ,B,A,J,195929
7,BJ,D,A,J,0
7,BJ,D,B,J,0
7,BJ,D,G,J,77959
7,BJ,F,A,J,504909
7,BJ,H,A,J,0
7,BJ,J,E,J,0
7,BJ,K,A,J,0
7,BW,A,A,J,0
7,BW,C,A,J,0
7,BW,F,A,J,1545690
7,BW,K,A,J,0
7,CD,A,A,J,1439319
7,CD,C,A,J,1128020
7,CD,F,A,J,0
7,CD,K,A,J,0
7,CD,K,G,J,173070
7,CF,B,A,J,26620
7,CF,B,E,J,0
7,CF,K,A,J,0
7,CG,B,A,J,650139
7,CG,D,G,J,40310
7,CG,F,A,J,0
7,CG,F,E,J,0
7,CG,K,A,J,0
7,CI,A,A,J,788520
7,CI,C,A,J,33399
7,CI,F,A,J,4821999
7,CI,H,A,J,1058879
7,CI,K,A,J,1455450
7,CI,K,E,J,0
7,CM,B,A,J,202309
7,CM,B,E,J,0
7,CM,C,A,J,128690
7,CM,D,G,J,58869
7,CM,F,A,J,989249
7,CM,H,A,J,378660
7,CM,K,A,J,0
7,CV,A,A,J,0
7,CV,C,A,J,193500
7,CV,F,A,J,1018359
7,CV,F,G,J,26449
7,CV,H,A,J,0
7,CV,K,A,J,1222009
7,CV,K,G,J,121200
7,ER,B,A,J,132389
7,ER,C,A,J,0
7,ER,D,B,J,0
7,ER,D,G,J,80099
7,ER,F,A,J,0
7,ER,K,A,J,0
7,ER,K,G,J,298810
7,ET,C,A,J,289209
7,ET,D,B,J,0
7,ET,D,G,J,27059
7,ET,F,A,J,4292469
7,ET,F,G,J,33780
7,ET,K,A,J,0
7,GA,F,A,J,0
7,GA,K,A,J,0
7,GH,A,A,J,11370
7,GH,B,A,J,40020
7,GH,C,A,J,0
7,GH,D,B,J,0
7,GH,F,A,J,6406879
7,GH,H,A,J,782949
7,GH,J,A,J,0
7,GH,K,A,J,0
7,GM,A,A,J,0
7,GM,F,A,J,32219
