country,year,life-expectancy-at-birth
BY,2004,68.95609756
BZ,2004,71.7594878
BM,2004,78.48536585
BO,2004,64.3635122
BR,2004,71.44178049
BB,2004,73.77004878
BN,2004,76.83931707
BT,2004,63.3005122
BW,2004,47.15543902
CF,2004,44.56782927
CA,2004,80.14146341
CH,2004,81.08780488
CL,2004,77.95980488
CN,2004,73.79370732
CI,2004,46.791
CM,2004,51.7164878
CG,2004,53.49965854
CO,2004,72.01860976
KM,2004,58.81804878
CV,2004,71.42260976
CR,2004,78.31417073
CU,2004,77.49014634
CW,2004,
KY,2004,
CY,2004,78.47634146
CZ,2004,75.72195122
DE,2004,78.6804878
DJ,2004,57.66363415
DM,2004,
DK,2004,77.49268293
DO,2004,71.47507317
DZ,2004,69.66387805
EC,2004,74.44714634
EG,2004,69.26382927
ER,2004,58.12819512
ES,2004,79.87073171
EE,2004,71.9097561
ET,2004,55.56134146
FI,2004,78.71463415
FJ,2004,68.31768293
FR,2004,80.16341463
FO,2004,79.3902439
FM,2004,67.77602439
GA,2004,59.68385366
GB,2004,78.74634146
GE,2004,72.7057561
GH,2004,58.22485366
GN,2004,52.19458537
GM,2004,56.45590244
GW,2004,52.16609756
GQ,2004,48.48709756
GR,2004,79.03902439
GD,2004,71.17646341
GL,2004,68.80682927
GT,2004,69.33190244
GU,2004,76.44768293
GY,2004,64.27331707
HK,2004,81.7804878
HN,2004,71.26790244
HR,2004,75.5202439
HT,2004,58.80712195
HU,2004,72.64878049
ID,2004,68.55039024
IN,2004,63.72426829
IE,2004,78.53902439
IR,2004,71.14534146
IQ,2004,69.76865854
IS,2004,80.99756098
IL,2004,80.14634146
IT,2004,80.77804878
JM,2004,71.21843902
JO,2004,72.4737561
JP,2004,82.0302439
KZ,2004,65.88780488
KE,2004,53.93460976
KG,2004,68.15365854
KH,2004,66.02470732
KI,2004,65.94302439
KN,2004,
KR,2004,77.84658537
XK,2004,68.44634146
KW,2004,73.66221951
LA,2004,63.97853659
LB,2004,76.52165854
LR,2004,54.0962439
LY,2004,73.27473171
LC,2004,72.62892683
LI,2004,81.77073171
