country,year,income-share-top-10pc
LY,2009,
LC,2009,
LI,2009,
LK,2009,
LS,2009,
LT,2009,
LU,2009,
LV,2009,26.68
MO,2009,
MF,2009,
MA,2009,
MC,2009,
MD,2009,25.76
MG,2009,
MV,2009,
MX,2009,
MH,2009,
MK,2009,32.4
ML,2009,
MT,2009,
MM,2009,
ME,2009,24.36
MN,2009,
MP,2009,
MZ,2009,
MR,2009,
MU,2009,
MW,2009,
MY,2009,34.65
NA,2009,
NC,2009,
NE,2009,
NG,2009,
NI,2009,
NL,2009,
NO,2009,
NP,2009,
NZ,2009,
OM,2009,
PK,2009,
PA,2009,40.49
PE,2009,36.78
PH,2009,33.62
PW,2009,
PG,2009,
PL,2009,27.05
PR,2009,
KP,2009,
PT,2009,
PY,2009,38.95
PF,2009,
QA,2009,
RO,2009,23.5
RU,2009,31.68
RW,2009,
SA,2009,
SD,2009,26.72
SN,2009,
SG,2009,
SB,2009,
SL,2009,
SV,2009,37
SM,2009,
SO,2009,
RS,2009,22.2
SS,2009,
ST,2009,
SR,2009,
SK,2009,22.41
SI,2009,
SE,2009,
SZ,2009,
SX,2009,
SC,2009,
SY,2009,
TC,2009,
TD,2009,
TG,2009,
TH,2009,31.45
TJ,2009,24.31
TM,2009,
TL,2009,
TO,2009,
TT,2009,
TN,2009,
TR,2009,29
TV,2009,
TZ,2009,
UG,2009,36.1
UA,2009,22.04
UY,2009,35.24
US,2009,
UZ,2009,
VC,2009,
VE,2009,
VI,2009,
VN,2009,
VU,2009,
PS,2009,28.18
WS,2009,
YE,2009,
ZA,2009,51.69
CD,2009,
ZM,2009,
ZW,2009,
AW,2010,
AD,2010,
AF,2010,
AO,2010,
AL,2010,
AE,2010,
AR,2010,32.3
AM,2010,26.37
AS,2010,
AG,2010,
AU,2010,
AT,2010,
AZ,2010,
BI,2010,
BE,2010,
BJ,2010,
BF,2010,
BD,2010,27.03
BG,2010,
BH,2010,
BS,2010,
BA,2010,
BY,2010,22.29
BZ,2010,
BM,2010,
BO,2010,
BR,2010,
BB,2010,
BN,2010,
BT,2010,
BW,2010,
CF,2010,
CA,2010,
CH,2010,
CL,2010,
CN,2010,
CI,2010,
CM,2010,
CG,2010,
CO,2010,44.43
KM,2010,
CV,2010,
CR,2010,
CU,2010,
CW,2010,
KY,2010,
CY,2010,
CZ,2010,
DE,2010,
DJ,2010,
DM,2010,
DK,2010,
DO,2010,36.41
DZ,2010,
EC,2010,38.32
EG,2010,
ER,2010,
ES,2010,
EE,2010,
ET,2010,
FI,2010,
FJ,2010,
FR,2010,
FO,2010,
FM,2010,
GA,2010,
GB,2010,
GE,2010,31.34
GH,2010,
GN,2010,
GM,2010,
GW,2010,
GQ,2010,
GR,2010,
GD,2010,
GL,2010,
GT,2010,
GU,2010,
GY,2010,
HK,2010,
HN,2010,
HR,2010,
HT,2010,
HU,2010,
