id,region,aid-type,year,value
KR,oceania,bilateral,2013,4430000.00
KR,oceania,multilateral,2013,4445083.63
KR,south-america,bilateral,2013,70680240.75
KR,south-america,multilateral,2013,15579704.67
KR,south-central-asia,bilateral,2013,322873791.92
KR,south-central-asia,multilateral,2013,97010338.76
KR,south-of-sahara,bilateral,2013,255165142.69
KR,south-of-sahara,multilateral,2013,195045292.95
KR,unspecified,bilateral,2013,163160000.00
KR,unspecified,multilateral,2013,28702651.69
LU,europe,bilateral,2013,15760000.00
LU,europe,multilateral,2013,13867243.41
LU,far-east-asia,bilateral,2013,37895912.34
LU,far-east-asia,multilateral,2013,7883609.88
LU,middle-east,bilateral,2013,14324533.73
LU,middle-east,multilateral,2013,12328487.99
LU,north-central-america,bilateral,2013,27878010.92
LU,north-central-america,multilateral,2013,3666566.66
LU,north-of-sahara,bilateral,2013,1946216.56
LU,north-of-sahara,multilateral,2013,4206215.39
LU,oceania,bilateral,2013,340000.00
LU,oceania,multilateral,2013,795735.42
LU,south-america,bilateral,2013,6921989.08
LU,south-america,multilateral,2013,2313618.04
LU,south-central-asia,bilateral,2013,12729553.93
LU,south-central-asia,multilateral,2013,18156325.12
LU,south-of-sahara,bilateral,2013,123383783.44
LU,south-of-sahara,multilateral,2013,50062855.57
LU,unspecified,bilateral,2013,60870000.00
LU,unspecified,multilateral,2013,17229342.51
NL,europe,bilateral,2013,24120000.00
NL,europe,multilateral,2013,227460256.24
NL,far-east-asia,bilateral,2013,53355342.61
NL,far-east-asia,multilateral,2013,104276266.75
NL,middle-east,bilateral,2013,102768919.05
NL,middle-east,multilateral,2013,143266706.19
NL,north-central-america,bilateral,2013,35959613.15
NL,north-central-america,multilateral,2013,78027889.93
NL,north-of-sahara,bilateral,2013,10057483.95
NL,north-of-sahara,multilateral,2013,71515050.46
NL,oceania,bilateral,2013,0.00
NL,oceania,multilateral,2013,13140301.37
NL,south-america,bilateral,2013,45580386.85
NL,south-america,multilateral,2013,47244936.85
NL,south-central-asia,bilateral,2013,196845738.34
NL,south-central-asia,multilateral,2013,249255163.42
NL,south-of-sahara,bilateral,2013,854192516.05
NL,south-of-sahara,multilateral,2013,664164885.51
NL,unspecified,bilateral,2013,2501610000.00
NL,unspecified,multilateral,2013,190238543.28
NO,europe,bilateral,2013,101780000.00
NO,europe,multilateral,2013,26447994.20
NO,far-east-asia,bilateral,2013,145463262.34
NO,far-east-asia,multilateral,2013,93936944.56
NO,middle-east,bilateral,2013,299358724.39
NO,middle-east,multilateral,2013,111685727.10
NO,north-central-america,bilateral,2013,85858358.18
NO,north-central-america,multilateral,2013,46552017.80
NO,north-of-sahara,bilateral,2013,5491442.62
NO,north-of-sahara,multilateral,2013,29126878.79
NO,oceania,bilateral,2013,1590000.00
NO,oceania,multilateral,2013,9811356.93
NO,south-america,bilateral,2013,739231641.82
NO,south-america,multilateral,2013,26148384.97
NO,south-central-asia,bilateral,2013,324968013.27
NO,south-central-asia,multilateral,2013,210064672.36
NO,south-of-sahara,bilateral,2013,1089758557.38
NO,south-of-sahara,multilateral,2013,544948932.15
NO,unspecified,bilateral,2013,1612930000.00
NO,unspecified,multilateral,2013,166817091.15
NZ,europe,bilateral,2013,0.00
NZ,europe,multilateral,2013,1980346.55
NZ,far-east-asia,bilateral,2013,52673149.64
NZ,far-east-asia,multilateral,2013,9237336.77
NZ,middle-east,bilateral,2013,3741644.44
NZ,middle-east,multilateral,2013,8476885.17
NZ,north-central-america,bilateral,2013,680000.00
NZ,north-central-america,multilateral,2013,4043604.54
NZ,north-of-sahara,bilateral,2013,42685.85
NZ,north-of-sahara,multilateral,2013,1630990.42
NZ,oceania,bilateral,2013,222350000.00
NZ,oceania,multilateral,2013,837381.89
NZ,south-america,bilateral,2013,1530000.00
NZ,south-america,multilateral,2013,2256149.86
NZ,south-central-asia,bilateral,2013,11845205.92
NZ,south-central-asia,multilateral,2013,19276953.10
NZ,south-of-sahara,bilateral,2013,4407314.15
NZ,south-of-sahara,multilateral,2013,46350438.93
NZ,unspecified,bilateral,2013,53270000.00
NZ,unspecified,multilateral,2013,12679912.76
PL,europe,bilateral,2013,38740000.00
PL,europe,multilateral,2013,103240204.45
PL,far-east-asia,bilateral,2013,31200000.00
PL,far-east-asia,multilateral,2013,9773421.56
PL,middle-east,bilateral,2013,3320000.00
PL,middle-east,multilateral,2013,26344213.04
PL,north-central-america,bilateral,2013,100000.00
PL,north-central-america,multilateral,2013,13177323.59
PL,north-of-sahara,bilateral,2013,600000.00
PL,north-of-sahara,multilateral,2013,28472565.44
PL,oceania,bilateral,2013,20000.00
PL,oceania,multilateral,2013,1996434.64
PL,south-america,bilateral,2013,320000.00
PL,south-america,multilateral,2013,9322709.96
PL,south-central-asia,bilateral,2013,10660000.00
PL,south-central-asia,multilateral,2013,28523679.53
PL,south-of-sahara,bilateral,2013,44090000.00
PL,south-of-sahara,multilateral,2013,103584477.81
PL,unspecified,bilateral,2013,11410000.00
PL,unspecified,multilateral,2013,26524969.98
PT,europe,bilateral,2013,1600000.00
PT,europe,multilateral,2013,50601858.89
PT,far-east-asia,bilateral,2013,30340000.00
PT,far-east-asia,multilateral,2013,5333661.53
PT,middle-east,bilateral,2013,420000.00
PT,middle-east,multilateral,2013,13985138.53
PT,north-central-america,bilateral,2013,494045.94
PT,north-central-america,multilateral,2013,8020165.61
PT,north-of-sahara,bilateral,2013,400125.83
PT,north-of-sahara,multilateral,2013,13911879.42
PT,oceania,bilateral,2013,0.00
PT,oceania,multilateral,2013,1161349.02
PT,south-america,bilateral,2013,6675954.06
PT,south-america,multilateral,2013,5421674.87
PT,south-central-asia,bilateral,2013,770000.00
PT,south-central-asia,multilateral,2013,16522207.34
PT,south-of-sahara,bilateral,2013,285779874.17
PT,south-of-sahara,multilateral,2013,55779155.99
PT,unspecified,bilateral,2013,16270000.00
PT,unspecified,multilateral,2013,14792908.80
SE,europe,bilateral,2013,155050000.00
SE,europe,multilateral,2013,147590013.42
SE,far-east-asia,bilateral,2013,117995951.06
SE,far-east-asia,multilateral,2013,129136049.45
SE,middle-east,bilateral,2013,239724790.39
SE,middle-east,multilateral,2013,159202812.32
SE,north-central-america,bilateral,2013,54128894.49
SE,north-central-america,multilateral,2013,65902233.93
SE,north-of-sahara,bilateral,2013,31889097.50
SE,north-of-sahara,multilateral,2013,57576905.40
SE,oceania,bilateral,2013,40000.00
SE,oceania,multilateral,2013,13307246.18
SE,south-america,bilateral,2013,86331105.51
SE,south-america,multilateral,2013,37973391.54
SE,south-central-asia,bilateral,2013,290809258.55
SE,south-central-asia,multilateral,2013,301304937.75
SE,south-of-sahara,bilateral,2013,1166320902.50
SE,south-of-sahara,multilateral,2013,778346256.21
SE,unspecified,bilateral,2013,1840100000.00
SE,unspecified,multilateral,2013,219160153.80
SI,europe,bilateral,2013,10490000.00
SI,europe,multilateral,2013,10673775.89
SI,far-east-asia,bilateral,2013,90000.00
SI,far-east-asia,multilateral,2013,1604771.96
SI,middle-east,bilateral,2013,310000.00
SI,middle-east,multilateral,2013,2858426.10
SI,north-central-america,bilateral,2013,60000.00
SI,north-central-america,multilateral,2013,1591760.80
SI,north-of-sahara,bilateral,2013,100000.00
SI,north-of-sahara,multilateral,2013,2931293.85
SI,oceania,bilateral,2013,0.00
SI,oceania,multilateral,2013,253444.67
SI,south-america,bilateral,2013,10000.00
SI,south-america,multilateral,2013,1100917.34
SI,south-central-asia,bilateral,2013,330000.00
SI,south-central-asia,multilateral,2013,4065443.43
SI,south-of-sahara,bilateral,2013,1030000.00
SI,south-of-sahara,multilateral,2013,12908419.94
SI,unspecified,bilateral,2013,8210000.00
SI,unspecified,multilateral,2013,2981746.04
SK,europe,bilateral,2013,4520000.00
SK,europe,multilateral,2013,19143794.02
SK,far-east-asia,bilateral,2013,300733.50
SK,far-east-asia,multilateral,2013,2141991.32
SK,middle-east,bilateral,2013,451100.24
SK,middle-east,multilateral,2013,5116585.92
SK,north-central-america,bilateral,2013,10000.00
SK,north-central-america,multilateral,2013,2552407.72
SK,north-of-sahara,bilateral,2013,400000.00
SK,north-of-sahara,multilateral,2013,5521176.47
SK,oceania,bilateral,2013,0.00
SK,oceania,multilateral,2013,407547.19
SK,south-america,bilateral,2013,80000.00
SK,south-america,multilateral,2013,1771494.64
SK,south-central-asia,bilateral,2013,3348166.26
SK,south-central-asia,multilateral,2013,6286938.08
SK,south-of-sahara,bilateral,2013,2500000.00
SK,south-of-sahara,multilateral,2013,21778559.79
SK,unspecified,bilateral,2013,4570000.00
SK,unspecified,multilateral,2013,5149504.85
US,europe,bilateral,2013,481930000.00
US,europe,multilateral,2013,91641549.82
US,far-east-asia,bilateral,2013,936817267.47
US,far-east-asia,multilateral,2013,451297917.89
US,middle-east,bilateral,2013,3068972524.30
US,middle-east,multilateral,2013,274836441.68
US,north-central-america,bilateral,2013,1259675396.00
US,north-central-america,multilateral,2013,211097950.89
US,north-of-sahara,bilateral,2013,619810000.00
US,north-of-sahara,multilateral,2013,135820950.56
US,oceania,bilateral,2013,217310000.00
US,oceania,multilateral,2013,43236848.54
US,south-america,bilateral,2013,576344604.00
US,south-america,multilateral,2013,106587702.01
US,south-central-asia,bilateral,2013,3268800208.23
US,south-central-asia,multilateral,2013,1044092918.82
US,south-of-sahara,bilateral,2013,8765070000.00
US,south-of-sahara,multilateral,2013,2410950235.57
US,unspecified,bilateral,2013,7861600000.00
US,unspecified,multilateral,2013,344247484.22
