id,year,total-unemployment
XK,2004,
KW,2004,1.700000048
LA,2004,2.400000095
LB,2004,7.900000095
LR,2004,4.099999905
LY,2004,19.89999962
LC,2004,
LI,2004,
LK,2004,8.399999619
LS,2004,36
LT,2004,11.30000019
LU,2004,5.099999905
LV,2004,9.899999619
MO,2004,4.900000095
MF,2004,
MA,2004,10.80000019
MC,2004,
MD,2004,8.100000381
MG,2004,3.799999952
MV,2004,12.5
MX,2004,3.700000048
MH,2004,
MK,2004,37.20000076
ML,2004,8.800000191
MT,2004,7.300000191
MM,2004,3.400000095
ME,2004,19.29999924
MN,2004,7.099999905
MP,2004,
MZ,2004,8.399999619
MR,2004,32.5
MU,2004,8.5
MW,2004,7.800000191
MY,2004,3.5
NA,2004,21.89999962
NC,2004,
NE,2004,5
NG,2004,7.699999809
NI,2004,6.699999809
NL,2004,4.599999905
NO,2004,4.400000095
NP,2004,2.099999905
NZ,2004,4
OM,2004,8.399999619
PK,2004,7.400000095
PA,2004,11.69999981
PE,2004,5.199999809
PH,2004,11.89999962
PW,2004,
PG,2004,2.700000048
PL,2004,19
PR,2004,10.5
KP,2004,4.599999905
PT,2004,6.699999809
PY,2004,7.400000095
PF,2004,
QA,2004,1.5
RO,2004,7.699999809
RU,2004,7.800000191
RW,2004,0.600000024
SA,2004,5.900000095
SD,2004,14.89999962
SN,2004,10.10000038
SG,2004,4.400000095
SB,2004,3.799999952
SL,2004,3.400000095
SV,2004,6.800000191
SM,2004,
SO,2004,6.900000095
RS,2004,18.5
SS,2004,
ST,2004,
SR,2004,14.60000038
SK,2004,18.10000038
SI,2004,6.300000191
SE,2004,6.599999905
SZ,2004,22.89999962
SX,2004,
SC,2004,
SY,2004,9.800000191
TC,2004,
TD,2004,6.800000191
TG,2004,7.099999905
TH,2004,1.5
TJ,2004,12
TM,2004,11
TL,2004,7.900000095
TO,2004,
TT,2004,8.300000191
TN,2004,13.89999962
TR,2004,10.80000019
TV,2004,
TZ,2004,2.900000095
UG,2004,2.5
UA,2004,8.600000381
UY,2004,6.900000095
US,2004,5.599999905
UZ,2004,11
VC,2004,
VE,2004,15
VI,2004,
VN,2004,2.099999905
VU,2004,
PS,2004,26.79999924
WS,2004,
YE,2004,14.19999981
ZA,2004,24.70000076
CD,2004,8.199999809
ZM,2004,15.5
ZW,2004,4.199999809
AW,2005,
AD,2005,
AF,2005,8.5
AO,2005,6.800000191
AL,2005,12.5
AE,2005,3.099999905
AR,2005,10.60000038
AM,2005,27.79999924
AS,2005,
AG,2005,
AU,2005,5
AT,2005,5.199999809
AZ,2005,7.300000191
BI,2005,7.300000191
BE,2005,8.399999619
BJ,2005,1.299999952
BF,2005,2.700000048
BD,2005,4.300000191
BG,2005,10.10000038
BH,2005,8.800000191
BS,2005,10.19999981
BA,2005,25.60000038
BY,2005,6.300000191
BZ,2005,11
BM,2005,
BO,2005,5.400000095
BR,2005,9.300000191
BB,2005,9.100000381
BN,2005,3.200000048
BT,2005,3.099999905
BW,2005,22
CF,2005,7
CA,2005,6.699999809
CH,2005,4.400000095
CL,2005,8
CN,2005,4.099999905
CI,2005,4.099999905
CM,2005,4.400000095
CG,2005,6.599999905
CO,2005,12
KM,2005,6.699999809
CV,2005,7.199999809
CR,2005,6.599999905
CU,2005,1.899999976
CW,2005,
KY,2005,
CY,2005,5.300000191
CZ,2005,7.900000095
DE,2005,11.10000038
DJ,2005,
DM,2005,
DK,2005,4.800000191
DO,2005,18
DZ,2005,15.30000019
EC,2005,6.599999905
EG,2005,11.19999981
ER,2005,7.5
ES,2005,9.300000191
EE,2005,7.900000095
ET,2005,5.400000095
FI,2005,8.399999619
FJ,2005,4.599999905
FR,2005,8.899999619
FO,2005,
FM,2005,
GA,2005,21
GB,2005,4.800000191
GE,2005,13.80000019
GH,2005,3.799999952
GN,2005,1.899999976
GM,2005,7.199999809
GW,2005,6.900000095
GQ,2005,6.800000191
GR,2005,9.800000191
GD,2005,
GL,2005,
GT,2005,2.5
GU,2005,
GY,2005,12.60000038
HK,2005,5.599999905
HN,2005,4.199999809
HR,2005,12.60000038
HT,2005,7.400000095
HU,2005,7.199999809
ID,2005,11.19999981
IN,2005,4.400000095
IE,2005,4.300000191
IR,2005,12.10000038
IQ,2005,18
IS,2005,2.599999905
IL,2005,9
IT,2005,7.699999809
JM,2005,10.89999962
JO,2005,14.89999962
JP,2005,4.400000095
KZ,2005,8.100000381
KE,2005,9.5
KG,2005,8.100000381
KH,2005,1.299999952
KI,2005,
KN,2005,
KR,2005,3.700000048
XK,2005,
KW,2005,2
LA,2005,1.399999976
LB,2005,8.199999809
LR,2005,5
LY,2005,19.79999924
LC,2005,
LI,2005,
LK,2005,7.699999809
LS,2005,36.40000153
LT,2005,8.300000191
LU,2005,4.5
LV,2005,8.899999619
MO,2005,4.199999809
MF,2005,
MA,2005,11
MC,2005,
MD,2005,7.300000191
MG,2005,2.599999905
MV,2005,13.39999962
MX,2005,3.5
MH,2005,
MK,2005,37.29999924
ML,2005,8.5
MT,2005,7.300000191
MM,2005,3.400000095
ME,2005,19.39999962
MN,2005,6.900000095
MP,2005,
MZ,2005,8.300000191
MR,2005,32.09999847
MU,2005,9.600000381
MW,2005,7.900000095
MY,2005,3.5
NA,2005,20.20000076
NC,2005,
NE,2005,5.099999905
NG,2005,7.599999905
NI,2005,5.599999905
NL,2005,4.699999809
NO,2005,4.599999905
NP,2005,2.5
NZ,2005,3.799999952
OM,2005,8.399999619
PK,2005,7.099999905
PA,2005,9.800000191
PE,2005,5.199999809
PH,2005,7.699999809
PW,2005,
PG,2005,2.599999905
PL,2005,17.70000076
PR,2005,11.5
KP,2005,4.599999905
PT,2005,7.599999905
PY,2005,5.800000191
PF,2005,
QA,2005,1.100000024
RO,2005,7.199999809
RU,2005,7.099999905
RW,2005,0.600000024
SA,2005,5.900000095
SD,2005,14.80000019
SN,2005,10.10000038
SG,2005,4.099999905
SB,2005,3.599999905
SL,2005,3.400000095
SV,2005,7.199999809
SM,2005,
SO,2005,6.900000095
RS,2005,20.79999924
SS,2005,
ST,2005,
SR,2005,8.199999809
SK,2005,16.20000076
SI,2005,6.5
SE,2005,7.800000191
SZ,2005,22.89999962
SX,2005,
SC,2005,
SY,2005,9.199999809
TC,2005,
TD,2005,7
TG,2005,7.099999905
TH,2005,1.299999952
TJ,2005,11.69999981
TM,2005,11
TL,2005,7.199999809
TO,2005,
TT,2005,8
TN,2005,14.19999981
TR,2005,10.60000038
TV,2005,
TZ,2005,2.5
UG,2005,2
UA,2005,7.199999809
UY,2005,9
US,2005,5.199999809
UZ,2005,11
VC,2005,
VE,2005,11.39999962
VI,2005,
VN,2005,2.099999905
VU,2005,
PS,2005,26
WS,2005,
YE,2005,16.10000038
ZA,2005,23.79999924
CD,2005,8.199999809
ZM,2005,15.89999962
ZW,2005,4.599999905
AW,2006,
AD,2006,
AF,2006,8.300000191
AO,2006,6.800000191
AL,2006,12.39999962
AE,2006,3.299999952
AR,2006,10.10000038
AM,2006,28.60000038
AS,2006,
AG,2006,
AU,2006,4.800000191
AT,2006,4.699999809
AZ,2006,6.599999905
BI,2006,7.199999809
BE,2006,8.199999809
BJ,2006,1.100000024
BF,2006,2.299999952
BD,2006,4.199999809
BG,2006,8.899999619
BH,2006,8.5
BS,2006,7.599999905
BA,2006,31.79999924
BY,2006,6.199999809
BZ,2006,9.399999619
BM,2006,
BO,2006,5.300000191
BR,2006,8.399999619
BB,2006,8.699999809
