id,year,budget-type,l1,l2,l3,l4,l5,value
UG,2011,actual,total-expenditure,recurrent-expenditure,wages-and-salaries,,,1.66E+12
UG,2012,actual,total-expenditure,recurrent-expenditure,wages-and-salaries,,,1.83E+12
UG,2013,actual,total-expenditure,recurrent-expenditure,wages-and-salaries,,,2.16E+12
UG,2014,budget,total-expenditure,recurrent-expenditure,wages-and-salaries,,,2.44E+12
UG,2014,actual,total-expenditure,recurrent-expenditure,wages-and-salaries,,,2.38E+12
UG,2015,proj,total-expenditure,recurrent-expenditure,wages-and-salaries,,,2.91E+12
UG,2016,proj,total-expenditure,recurrent-expenditure,wages-and-salaries,,,2.99E+12
UG,2017,proj,total-expenditure,recurrent-expenditure,wages-and-salaries,,,3.38E+12
UG,2018,proj,total-expenditure,recurrent-expenditure,wages-and-salaries,,,3.71E+12
UG,2019,proj,total-expenditure,recurrent-expenditure,wages-and-salaries,,,4.20E+12
UG,2000,actual,total-expenditure,recurrent-expenditure,interest-payments,,,95000000000.00
UG,2001,actual,total-expenditure,recurrent-expenditure,interest-payments,,,1.25E+11
UG,2002,actual,total-expenditure,recurrent-expenditure,interest-payments,,,1.41E+11
UG,2003,actual,total-expenditure,recurrent-expenditure,interest-payments,,,1.73E+11
UG,2004,actual,total-expenditure,recurrent-expenditure,interest-payments,,,2.62E+11
UG,2005,actual,total-expenditure,recurrent-expenditure,interest-payments,,,2.29E+11
UG,2006,actual,total-expenditure,recurrent-expenditure,interest-payments,,,2.49E+11
UG,2007,actual,total-expenditure,recurrent-expenditure,interest-payments,,,2.36E+11
UG,2008,actual,total-expenditure,recurrent-expenditure,interest-payments,,,3.09E+11
UG,2009,actual,total-expenditure,recurrent-expenditure,interest-payments,,,3.57E+11
UG,2010,actual,total-expenditure,recurrent-expenditure,interest-payments,,,3.86E+11
UG,2011,actual,total-expenditure,recurrent-expenditure,interest-payments,,,4.24E+11
UG,2012,actual,total-expenditure,recurrent-expenditure,interest-payments,,,6.03E+11
UG,2013,actual,total-expenditure,recurrent-expenditure,interest-payments,,,8.90E+11
UG,2014,budget,total-expenditure,recurrent-expenditure,interest-payments,,,9.75E+11
UG,2014,actual,total-expenditure,recurrent-expenditure,interest-payments,,,9.70E+11
UG,2015,proj,total-expenditure,recurrent-expenditure,interest-payments,,,1.29E+12
UG,2016,proj,total-expenditure,recurrent-expenditure,interest-payments,,,1.61E+12
UG,2017,proj,total-expenditure,recurrent-expenditure,interest-payments,,,1.88E+12
UG,2018,proj,total-expenditure,recurrent-expenditure,interest-payments,,,2.21E+12
UG,2019,proj,total-expenditure,recurrent-expenditure,interest-payments,,,2.49E+12
UG,2000,actual,total-expenditure,recurrent-expenditure,other-recurrent,,,508000000000.00
UG,2001,actual,total-expenditure,recurrent-expenditure,other-recurrent,,,5.79E+11
UG,2002,actual,total-expenditure,recurrent-expenditure,other-recurrent,,,7.30E+11
UG,2003,actual,total-expenditure,recurrent-expenditure,other-recurrent,,,7.81E+11
UG,2004,actual,total-expenditure,recurrent-expenditure,other-recurrent,,,8.61E+11
UG,2005,actual,total-expenditure,recurrent-expenditure,other-recurrent,,,9.75E+11
UG,2006,actual,total-expenditure,recurrent-expenditure,other-recurrent,,,1.12E+12
UG,2007,actual,total-expenditure,recurrent-expenditure,other-recurrent,,,1.22E+12
UG,2008,actual,total-expenditure,recurrent-expenditure,other-recurrent,,,1.47E+12
UG,2009,actual,total-expenditure,recurrent-expenditure,other-recurrent,,,1.75E+12
UG,2010,actual,total-expenditure,recurrent-expenditure,other-recurrent,,,2.61E+12
UG,2011,actual,total-expenditure,recurrent-expenditure,other-recurrent,,,3.88E+12
UG,2012,actual,total-expenditure,recurrent-expenditure,other-recurrent,,,3.15E+12
UG,2013,actual,total-expenditure,recurrent-expenditure,other-recurrent,,,2.76E+12
UG,2014,budget,total-expenditure,recurrent-expenditure,other-recurrent,,,3.02E+12
UG,2014,actual,total-expenditure,recurrent-expenditure,other-recurrent,,,3.32E+12
UG,2015,proj,total-expenditure,recurrent-expenditure,other-recurrent,,,3.29E+12
UG,2016,proj,total-expenditure,recurrent-expenditure,other-recurrent,,,3.73E+12
UG,2017,proj,total-expenditure,recurrent-expenditure,other-recurrent,,,4.14E+12
UG,2018,proj,total-expenditure,recurrent-expenditure,other-recurrent,,,4.59E+12
