country,Year,gni-usd-current
SZ,2008,3014570680
SX,2008,
SC,2008,894482474.1
SY,2008,
TC,2008,
TD,2008,10084539098
TG,2008,2794207126
TH,2008,2.62864E+11
TJ,2008,5108413861
TM,2008,18235683677
TL,2008,3257000000
TO,2008,354350132.5
TT,2008,26786451865
TN,2008,42243811379
TR,2008,7.21974E+11
TV,2008,49242906.5
TZ,2008,20424914238
UG,2008,13980570093
UA,2008,1.78452E+11
UY,2008,29459356678
US,2008,1.47942E+13
UZ,2008,29656048817
VC,2008,676161943
VE,2008,3.16085E+11
VI,2008,
VN,2008,96180833934
VU,2008,603236948.6
PS,2008,
WS,2008,545527822
YE,2008,24996047769
ZA,2008,2.64189E+11
CD,2008,10354647103
ZM,2008,13242182100
ZW,2008,3972333108
AW,2009,
AD,2009,
AF,2009,12504198525
AO,2009,68669276378
AL,2009,12009456223
AE,2009,2.58103E+11
AR,2009,2.9771E+11
AM,2009,8814606795
AS,2009,
AG,2009,1208196357
AU,2009,8.91051E+11
AT,2009,3.80041E+11
AZ,2009,40772406390
BI,2009,1722781536
BE,2009,4.70294E+11
BJ,2009,6552137118
BF,2009,8342688205
BD,2009,97484941860
BG,2009,46902673023
BH,2009,20538705151
BS,2009,7576757972
BA,2009,17661055473
BY,2009,48157367252
BZ,2009,1252678765
BM,2009,7344826000
BO,2009,16666184072
BR,2009,1.58812E+12
BB,2009,4402600000
BN,2009,10784535034
BT,2009,1219213314
BW,2009,9845451750
CF,2009,1960609518
CA,2009,1.31685E+12
CH,2009,5.20921E+11
CL,2009,1.60829E+11
CN,2009,4.98272E+12
CI,2009,22054522046
CM,2009,22051320157
CG,2009,6978833031
CO,2009,2.25058E+11
KM,2009,534725297.2
CV,2009,1668452931
CR,2009,28298851856
CU,2009,61147251592
CW,2009,
KY,2009,
CY,2009,23118782995
CZ,2009,1.84074E+11
DE,2009,3.38054E+12
DJ,2009,
DM,2009,467605918.5
DK,2009,3.15446E+11
DO,2009,45000350966
DZ,2009,1.36058E+11
EC,2009,61239165490
EG,2009,1.91178E+11
ER,2009,1840533603
ES,2009,1.42705E+12
EE,2009,18809153336
ET,2009,28132904307
FI,2009,2.43202E+11
FJ,2009,2914033825
FR,2009,2.66805E+12
FO,2009,
FM,2009,294370626.5
GA,2009,11021268402
GB,2009,2.23535E+12
GE,2009,10679219622
GH,2009,25884511641
GN,2009,4107952397
GM,2009,872636008
GW,2009,822352955.1
GQ,2009,7165815836
