country_from,country_to,year,bl_remittances,,Notes
AL,PS,2012,0,,
AL,PW,2012,0,,
AL,PY,2012,0,,
AL,RS,2012,0,,
AL,RW,2012,0,,
AL,SB,2012,0,,
AL,SC,2012,0,,
AL,SD,2012,0,,
AL,SH,2012,,,
AL,SL,2012,0,,
AL,SN,2012,0,,
AL,SO,2012,0,,
AL,SR,2012,0,,
AL,SS,2012,,,
AL,ST,2012,0,,
AL,SV,2012,0,,
AL,SY,2012,0,,
AL,SZ,2012,0,,
AL,TD,2012,0,,
AL,TG,2012,0,,
AL,TH,2012,0,,
AL,TJ,2012,0,,
AL,TK,2012,,,
AL,TL,2012,0,,
AL,TM,2012,0,,
AL,TN,2012,0,,
AL,TO,2012,0,,
AL,TR,2012,0,,
AL,TV,2012,0,,
AL,TZ,2012,0,,
AL,UA,2012,0,,
AL,UG,2012,0,,
AL,UY,2012,0,,
AL,UZ,2012,0,,
AL,VC,2012,0,,
AL,VE,2012,0,,
AL,VN,2012,0,,
AL,VU,2012,0,,
AL,WF,2012,,,
AL,WS,2012,0,,
AL,XK,2012,0,,
AL,YE,2012,0,,
AL,ZA,2012,0,,
AL,ZM,2012,0,,
AL,ZW,2012,0,,
AM,AF,2012,0,,
AM,AG,2012,0,,
AM,AI,2012,,,
AM,AL,2012,0,,
AM,AM,2012,0,,
AM,AO,2012,0,,
AM,AR,2012,0,,
AM,AZ,2012,189.79,,
AM,BA,2012,0,,
AM,BD,2012,0,,
AM,BF,2012,0,,
AM,BI,2012,0,,
AM,BJ,2012,0,,
AM,BO,2012,0,,
AM,BR,2012,0,,
AM,BT,2012,0,,
AM,BW,2012,0,,
AM,BY,2012,0,,
AM,BZ,2012,0,,
AM,CD,2012,0,,
AM,CF,2012,0,,
AM,CG,2012,0,,
AM,CI,2012,0,,
AM,CK,2012,,,
AM,CL,2012,0,,
AM,CM,2012,0,,
AM,CN,2012,0,,
AM,CO,2012,0,,
AM,CR,2012,0,,
AM,CU,2012,0,,
AM,CV,2012,0,,
AM,DJ,2012,0,,
AM,DM,2012,0,,
AM,DO,2012,0,,
AM,DZ,2012,0,,
AM,EC,2012,0,,
AM,EG,2012,0,,
AM,ER,2012,0,,
AM,ET,2012,0,,
AM,FJ,2012,0,,
AM,FM,2012,0,,
AM,GA,2012,0,,
AM,GD,2012,0,,
AM,GE,2012,63.78,,
AM,GH,2012,0,,
AM,GM,2012,0,,
AM,GN,2012,0,,
AM,GQ,2012,0,,
AM,GT,2012,0,,
AM,GW,2012,0,,
AM,GY,2012,0,,
AM,HN,2012,0,,
AM,HT,2012,0,,
AM,ID,2012,0,,
AM,IN,2012,0,,
AM,IQ,2012,0,,
AM,IR,2012,15.82,,
AM,JM,2012,0,,
AM,JO,2012,0,,
AM,KE,2012,0,,
AM,KG,2012,0,,
AM,KH,2012,0,,
AM,KI,2012,0,,
AM,KM,2012,0,,
AM,KN,2012,0,,
AM,KP,2012,0,,
AM,KZ,2012,0.06,,
AM,LA,2012,0,,
AM,LB,2012,21.35,,
AM,LC,2012,0,,
AM,LK,2012,0,,
AM,LR,2012,0,,
AM,LS,2012,0,,
AM,LY,2012,0,,
AM,MA,2012,0,,
AM,MD,2012,0,,
AM,ME,2012,0,,
AM,MG,2012,0,,
AM,MH,2012,0,,
AM,MK,2012,0,,
AM,ML,2012,0,,
AM,MM,2012,0,,
AM,MN,2012,0,,
AM,MR,2012,0,,
AM,MS,2012,,,
AM,MU,2012,0,,
AM,MV,2012,0,,
AM,MW,2012,0,,
AM,MX,2012,0,,
AM,MY,2012,0,,
AM,MZ,2012,0,,
AM,NA,2012,0,,
AM,NE,2012,0,,
AM,NG,2012,0,,
AM,NI,2012,0,,
AM,NP,2012,0,,
AM,NR,2012,,,
AM,NU,2012,,,
AM,PA,2012,0,,
AM,PE,2012,0,,
AM,PG,2012,0,,
AM,PH,2012,0,,
AM,PK,2012,0,,
AM,PS,2012,0,,
AM,PW,2012,0,,
AM,PY,2012,0,,
AM,RS,2012,0,,
AM,RW,2012,0,,
AM,SB,2012,0,,
AM,SC,2012,0,,
AM,SD,2012,0,,
AM,SH,2012,,,
AM,SL,2012,0,,
AM,SN,2012,0,,
AM,SO,2012,0,,
AM,SR,2012,0,,
AM,SS,2012,,,
AM,ST,2012,0,,
AM,SV,2012,0,,
AM,SY,2012,10.82,,
AM,SZ,2012,0,,
AM,TD,2012,0,,
AM,TG,2012,0,,
AM,TH,2012,0,,
AM,TJ,2012,0,,
AM,TK,2012,,,
AM,TL,2012,0,,
AM,TM,2012,0,,
AM,TN,2012,0,,
AM,TO,2012,0,,
AM,TR,2012,0.73,,
AM,TV,2012,0,,
AM,TZ,2012,0,,
AM,UA,2012,4.12,,
AM,UG,2012,0,,
AM,UY,2012,0,,
AM,UZ,2012,0,,
AM,VC,2012,0,,
AM,VE,2012,0,,
AM,VN,2012,0,,
AM,VU,2012,0,,
AM,WF,2012,,,
AM,WS,2012,0,,
AM,XK,2012,0,,
AM,YE,2012,0,,
AM,ZA,2012,0,,
AM,ZM,2012,0,,
AM,ZW,2012,0,,
AO,AF,2012,0,,
AO,AG,2012,0,,
AO,AI,2012,,,
AO,AL,2012,0,,
AO,AM,2012,0,,
AO,AO,2012,0,,
AO,AR,2012,0,,
AO,AZ,2012,0,,
AO,BA,2012,0,,
AO,BD,2012,0,,
AO,BF,2012,0,,
AO,BI,2012,0,,
AO,BJ,2012,0,,
AO,BO,2012,0,,
AO,BR,2012,0,,
AO,BT,2012,0,,
AO,BW,2012,0,,
AO,BY,2012,0,,
AO,BZ,2012,0,,
AO,CD,2012,0,,
AO,CF,2012,0,,
AO,CG,2012,0,,
AO,CI,2012,0,,
AO,CK,2012,,,
AO,CL,2012,0,,
AO,CM,2012,0,,
AO,CN,2012,0,,
AO,CO,2012,0,,
AO,CR,2012,0,,
AO,CU,2012,0,,
AO,CV,2012,9.09,,
AO,DJ,2012,0,,
AO,DM,2012,0,,
AO,DO,2012,0,,
AO,DZ,2012,0,,
AO,EC,2012,0,,
AO,EG,2012,0,,
AO,ER,2012,0,,
AO,ET,2012,0,,
AO,FJ,2012,0,,
AO,FM,2012,0,,
AO,GA,2012,0,,
AO,GD,2012,0,,
AO,GE,2012,0,,
AO,GH,2012,0,,
AO,GM,2012,0,,
AO,GN,2012,0.07,,
AO,GQ,2012,0,,
AO,GT,2012,0,,
AO,GW,2012,0,,
AO,GY,2012,0,,
AO,HN,2012,0,,
AO,HT,2012,0,,
AO,ID,2012,0,,
AO,IN,2012,0,,
