"id","year","in-oda-gross","capital-repayment","interest-repayment"
"ML",2003,868300000,119370000,25520000
"MR",2003,406910000,64440000,11460000
"MU",2003,57210000,75560000,10600000
"YT",2003,225630000,5710000,2120000
"MZ",2003,1489300000,74290000,22130000
"NA",2003,202090000,10200000,2280000
"NE",2003,689120000,49190000,15370000
"NG",2003,454690000,56010000,18730000
"RW",2003,481920000,38210000,13010000
"SH",2003,21730000,0,0
"ST",2003,56320000,6790000,1860000
"SN",2003,775660000,167100000,34340000
"SC",2003,14370000,860000,1e+05
"SL",2003,514630000,76710000,21960000
"SO",2003,254800000,1710000,320000
"ZA",2003,885760000,23890000,6620000
"SS",2003,0,0,0
"SD",2003,859680000,42540000,4940000
"SZ",2003,62860000,9550000,1670000
"TZ",2003,2481870000,184010000,43460000
"TG",2003,95050000,29430000,1920000
"UG",2003,1450370000,139090000,36640000
"ZM",2003,1397520000,376750000,44250000
"ZW",2003,263420000,19250000,20000
"south-of-sahara",2003,1786380000,14050000,940000
"africa",2003,748990000,27990000,4370000
"AI",2003,5600000,590000,230000
"AG",2003,9120000,1040000,360000
"BB",2003,34510000,8470000,580000
"BZ",2003,24100000,8500000,1310000
"CR",2003,106360000,66810000,14710000
"CU",2003,107040000,3400000,0
"DM",2003,20360000,5510000,2610000
"DO",2003,1.97e+08,105130000,31950000
"SV",2003,319280000,69940000,29990000
"GD",2003,20160000,5940000,1540000
"GT",2003,394770000,65310000,23540000
"HT",2003,320180000,41110000,23510000
"HN",2003,579390000,58610000,33040000
"JM",2003,113540000,101470000,28090000
"MX",2003,304540000,148100000,29730000
"MS",2003,45350000,1140000,160000
"NI",2003,1193900000,72750000,31860000
"PA",2003,74650000,39280000,7930000
"KN",2003,4140000,3830000,1590000
"LC",2003,30140000,9630000,2850000
"VC",2003,13640000,5030000,1380000
"TT",2003,12190000,15610000,670000
"TC",2003,3060000,250000,130000
"west-indies",2003,67830000,1450000,2030000
"north-central-america",2003,261350000,4560000,970000
"AR",2003,189040000,47030000,9820000
"BO",2003,1434110000,209650000,82070000
"BR",2003,593580000,325520000,87570000
"CL",2003,133360000,19790000,6420000
"CO",2003,1090140000,96280000,19960000
"EC",2003,338710000,109340000,47380000
"GY",2003,168930000,40640000,10030000
"PY",2003,127250000,60200000,26540000
"PE",2003,868990000,197930000,91230000
"SR",2003,44520000,30050000,9780000
"UY",2003,57270000,25050000,6040000
"VE",2003,113670000,5720000,610000
"south-america",2003,116730000,2970000,650000
"america",2003,509090000,9700000,1500000
"KH",2003,719850000,20600000,9710000
"CN",2003,3283280000,1478050000,662760000
"KP",2003,178780000,3160000,1170000
"ID",2003,2841040000,461340000,549190000
"LA",2003,444380000,33460000,15500000
"MY",2003,317070000,175430000,68030000
"MN",2003,356360000,21440000,13940000
"PH",2003,1711460000,738740000,326710000
"TH",2003,973400000,2183420000,265390000
"TL",2003,259430000,0,0
"VN",2003,2555020000,167380000,121740000
"east-asia",2003,142990000,0,0
"AF",2003,2150430000,34710000,9260000
"AM",2003,353400000,24100000,8700000
"AZ",2003,418790000,23560000,7640000
"BD",2003,2364530000,518110000,190760000
"BT",2003,108130000,2220000,1570000
"GE",2003,340540000,41360000,9380000
"IN",2003,3303430000,2493110000,663320000
"KZ",2003,386730000,4400000,11230000
"KG",2003,297550000,34740000,11820000
"MV",2003,37470000,5460000,2140000
"MM",2003,179640000,8710000,2400000
"NP",2003,702750000,77060000,32820000
"PK",2003,3755170000,2348450000,286190000
"LK",2003,1269330000,359010000,158690000
"TJ",2003,213020000,17170000,4e+06
"TM",2003,38490000,170000,1680000
"UZ",2003,251920000,2180000,13990000
"central-asia",2003,0,0,0
"south-asia",2003,0,0,0
"south-central-asia",2003,403820000,0,0
"BH",2003,182490000,7200000,0
"IR",2003,199850000,23680000,12230000
"IQ",2003,2933050000,380000,0
"JO",2003,1811760000,164130000,51030000
"LB",2003,743870000,33720000,4070000
"OM",2003,124770000,38020000,2240000
"SA",2003,18960000,850000,28900000
"SY",2003,340310000,177460000,51420000
"PS",2003,1396010000,890000,10000
"YE",2003,396800000,80240000,25210000
"middle-east",2003,229470000,0,0
"asia",2003,343250000,0,0
"CK",2003,10580000,350000,290000
"FJ",2003,79640000,260000,490000
"KI",2003,31160000,110000,110000
"MH",2003,70520000,70000,730000
"FM",2003,141620000,0,430000
"NR",2003,35150000,0,0
"NU",2003,16080000,0,0
"PW",2003,32780000,0,0
"PG",2003,529190000,51600000,20380000
"WS",2003,57760000,4310000,1610000
"SB",2003,173720000,30590000,2670000
"TK",2003,11190000,0,0
"TO",2003,46660000,2960000,820000
"TV",2003,10360000,0,50000
"VU",2003,60620000,1790000,970000
"WF",2003,73500000,0,0
"oceania",2003,140220000,9370000,0
"bilateral-unspecified",2003,17697830000,190770000,169150000
"AL",2004,393090000,29040000,9140000
"BY",2004,0,0,0
"BA",2004,838960000,4840000,10960000
"HR",2004,171980000,21960000,3860000
"MK",2004,344650000,23650000,7920000
"XK",2004,0,0,0
"MT",2004,0,0,0
"MD",2004,143560000,0,4460000
"ME",2004,24500000,0,230000
"RS",2004,1418960000,7040000,14070000
"SI",2004,0,0,0
"ex-yugoslavia",2004,129090000,0,0
"TR",2004,849230000,512780000,1.07e+08
"UA",2004,0,0,0
"europe",2004,699470000,2020000,0
