"id-from","entity-from-name","id-to","entity-to-name","year","sector","oof-bundle","channel","value"
"EU","European Union","america","America, regional",2012,"other","oof-loan","unspecified",36472082
"FR","France","america","America, regional",2012,"other","oof-loan","unspecified",54485479
"GB","UK","america","America, regional",2012,"other","oof-loan","unspecified",2120820
"idb","IDB","america","America, regional",2012,"other-social-services","oof-loan","public-sector-recipient",5e+05
"idb","IDB","america","America, regional",2012,"water-and-sanitation","oof-loan","public-sector-recipient",11297845
"idb","IDB","america","America, regional",2012,"education","oof-loan","public-sector-recipient",1865411
"idb","IDB","america","America, regional",2012,"infrastructure","oof-loan","public-sector-recipient",48283636
"KR","South Korea","america","America, regional",2012,"other","oof-loan","unspecified",43694790
"US","USA","america","America, regional",2012,"banking-and-business","oof-loan","unspecified",2031721
"US","USA","america","America, regional",2012,"other","oof-loan","unspecified",15440523
"AU","Australia","america","America, regional",2013,"other","oof-grant","unspecified",3055999
"BE","Belgium","america","America, regional",2013,"other","oof-loan","unspecified",15989887
"CA","Canada","america","America, regional",2013,"governance-and-security","oof-grant","unspecified",3429188
"CA","Canada","america","America, regional",2013,"other","oof-grant","unspecified",8711389
"DE","Germany","america","America, regional",2013,"other","oof-loan","unspecified",215607573
"DE","Germany","america","America, regional",2013,"industry-and-trade","oof-loan","unspecified",46930088
"ES","Spain","america","America, regional",2013,"other","oof-grant","unspecified",345555
"FI","Finland","america","America, regional",2013,"other","oof-loan","unspecified",1982285
"FR","France","america","America, regional",2013,"other","oof-loan","unspecified",229588023
"KR","South Korea","america","America, regional",2013,"other","oof-loan","unspecified",86448176
"US","USA","america","America, regional",2013,"banking-and-business","oof-loan","unspecified",51754276
"US","USA","america","America, regional",2013,"other","oof-loan","unspecified",2167586
"US","USA","AO","Angola",2010,"other","oof-loan","unspecified",4927928
"ibrd","IBRD","AG","Antigua & Barbuda",2013,"other-social-services","oof-loan","public-sector-recipient",461333
"ibrd","IBRD","AG","Antigua & Barbuda",2013,"governance-and-security","oof-loan","public-sector-recipient",1026839
"AU","Australia","AR","Argentina",2006,"other","oof-grant","unspecified",1746121
"ibrd","IBRD","AR","Argentina",2006,"industry-and-trade","oof-loan","unspecified",519110
"ibrd","IBRD","AR","Argentina",2006,"other-social-services","oof-loan","unspecified",220437438
"ibrd","IBRD","AR","Argentina",2006,"environment","oof-loan","unspecified",3773847
"ibrd","IBRD","AR","Argentina",2006,"other","oof-loan","unspecified",11377326
"ibrd","IBRD","AR","Argentina",2006,"infrastructure","oof-loan","unspecified",190991881
"ibrd","IBRD","AR","Argentina",2006,"water-and-sanitation","oof-loan","unspecified",22796462
"ibrd","IBRD","AR","Argentina",2006,"agriculture-and-food-security","oof-loan","unspecified",26268631
"ibrd","IBRD","AR","Argentina",2006,"education","oof-loan","unspecified",3634427
"ibrd","IBRD","AR","Argentina",2006,"governance-and-security","oof-loan","unspecified",22299395
"ibrd","IBRD","AR","Argentina",2006,"health","oof-loan","unspecified",29066897
"KR","South Korea","AR","Argentina",2006,"industry-and-trade","oof-loan","unspecified",4975287
"AU","Australia","AR","Argentina",2007,"governance-and-security","oof-grant","unspecified",1010671
"AU","Australia","AR","Argentina",2007,"other","oof-grant","unspecified",430498
"ibrd","IBRD","AR","Argentina",2007,"other-social-services","oof-loan","unspecified",101533026
